time_ms,roll,pitch,yaw,x,y,z,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted,value1,value2,value3,value4,value5,value6
98753,0.001344,-0.000975,-0.002441,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.325408,0.338275,0.309014,0.328536,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0011,-0.000975,-0.002319,-0.017245,-0.007532,-4e-06
98800,0.002076,-0.000608,-0.002441,0.0,0.0,0.0,0.00488,0.08713,0.00488,3.0,0.333117,0.376231,0.324228,0.251732,4e-05,0.002845,2.5e-05,0.003631,0.147181,0.002316,0.001832,-0.000852,-0.002563,0.012199,0.004014,-0.005598
98802,0.002076,-0.000608,-0.002441,0.0,0.0,0.0,0.00488,0.08713,0.00488,3.0,0.333117,0.376231,0.324228,0.251732,4e-05,0.002845,2.5e-05,0.003631,0.147181,0.002316,0.001832,-0.000852,-0.002563,0.012199,0.004014,-0.005598
98813,0.002076,-0.000364,-0.002319,0.0,0.0,0.0,0.005459,0.087096,0.005459,3.0,0.320577,0.388247,0.310238,0.267269,8.1e-05,0.004378,5.1e-05,0.005572,0.170642,0.003609,0.002077,-0.000729,-0.002319,0.012675,-0.004249,0.020861
98833,0.001952,0.000857,-0.002076,0.0,0.0,0.0,0.006476,0.087026,0.006476,3.0,0.324004,0.379645,0.308868,0.278293,0.000225,0.008071,0.000146,0.009869,0.204823,0.006622,0.002075,0.000369,-0.002076,0.003807,0.045778,0.021751
98853,0.002073,0.003176,-0.001713,0.0,0.0,0.0,0.008479,0.086854,0.008479,3.0,0.325241,0.36278,0.31194,0.297249,0.000453,0.012342,0.000302,0.01406,0.225696,0.009805,0.002073,0.002687,-0.001712,0.015205,0.134333,0.023575
98873,0.002192,0.007326,-0.001473,0.0,0.0,0.0,0.010671,0.086612,0.010671,3.0,0.333649,0.343527,0.312947,0.310417,0.000772,0.016952,0.000528,0.01855,0.236685,0.013381,0.002193,0.006349,-0.001472,0.002026,0.209654,0.021604
98893,0.002435,0.012575,-0.000992,0.0,0.0,0.0,0.01216,0.086415,0.01216,3.0,0.333944,0.329574,0.31534,0.322888,0.001187,0.021722,0.000831,0.023803,0.240333,0.017634,0.002313,0.01111,-0.001112,0.012208,0.261928,0.023367
98913,0.002802,0.018922,-0.000637,0.0,0.0,0.0,0.013888,0.086154,0.013888,3.0,0.350403,0.298496,0.322862,0.327559,0.001708,0.026523,0.001221,0.02861,0.23875,0.021823,0.002435,0.017213,-0.000875,-0.009583,0.328017,0.00626
98933,0.003048,0.026125,-0.000284,0.0,0.0,0.0,0.015139,0.085943,0.015139,3.0,0.343162,0.290493,0.320384,0.344133,0.002329,0.031262,0.001699,0.033152,0.233408,0.026018,0.002926,0.024294,-0.000402,0.007556,0.363138,0.018621
98953,0.003788,0.033938,0.00018,0.0,0.0,0.0,0.016791,0.085636,0.016791,3.0,0.3287,0.28572,0.317242,0.363947,0.00304,0.035873,0.002261,0.037174,0.225477,0.030017,0.003665,0.031984,0.000185,0.042619,0.400033,0.038941
98973,0.004902,0.04236,0.000874,0.0,0.0,0.0,0.019259,0.085115,0.019259,3.0,0.337933,0.256326,0.328214,0.365948,0.003836,0.04031,0.002906,0.04128,0.215692,0.034147,0.004653,0.040285,0.00064,0.050651,0.430045,0.027706
99009,0.007142,0.056031,0.002124,0.0,0.0,0.0,0.022486,0.08432,0.022486,3.0,0.328625,0.25889,0.325614,0.3747,0.005446,0.047564,0.004244,0.048205,0.195986,0.04139,0.006649,0.054201,0.002021,0.072098,0.391443,0.045551
99020,0.008272,0.061154,0.002928,0.0,0.0,0.0,0.023832,0.083949,0.023832,3.0,0.319582,0.266912,0.322583,0.379699,0.006216,0.050455,0.004899,0.051262,0.186942,0.044602,0.007896,0.059691,0.0027,0.087608,0.367202,0.059112
99033,0.009391,0.06457,0.003368,0.0,0.0,0.0,0.024532,0.083747,0.024532,3.0,0.338123,0.248632,0.33697,0.362621,0.006757,0.052306,0.005362,0.053149,0.180856,0.046668,0.008645,0.062864,0.003033,0.076241,0.333756,0.031087
99053,0.011508,0.069814,0.00425,0.0,0.0,0.0,0.025207,0.083547,0.025207,3.0,0.329124,0.279247,0.330118,0.357056,0.007899,0.055825,0.006352,0.056345,0.168741,0.050472,0.010643,0.068351,0.004043,0.076221,0.232503,0.045719
99073,0.013513,0.073708,0.00538,0.0,0.0,0.0,0.027092,0.082954,0.027092,3.0,0.32605,0.281549,0.33215,0.356305,0.009101,0.059103,0.007413,0.058455,0.156961,0.053589,0.012766,0.072859,0.005046,0.087591,0.203915,0.050353
99093,0.015639,0.075891,0.00651,0.0,0.0,0.0,0.029035,0.082295,0.029035,3.0,0.320255,0.294504,0.342056,0.342133,0.010355,0.062144,0.008539,0.060792,0.14527,0.05677,0.015135,0.07553,0.006165,0.127344,0.120095,0.049753
99113,0.017641,0.077092,0.007649,0.0,0.0,0.0,0.03,0.081948,0.03,3.0,0.322904,0.304792,0.339123,0.333897,0.011662,0.064951,0.009731,0.062895,0.133905,0.059749,0.017138,0.076975,0.007302,0.106914,0.06556,0.050708
99133,0.019519,0.077076,0.008802,0.0,0.0,0.0,0.03209,0.081152,0.03209,3.0,0.3198,0.320868,0.334476,0.326731,0.013014,0.067532,0.010979,0.064515,0.123014,0.062365,0.019017,0.077204,0.008453,0.101268,0.002442,0.061776
99153,0.021147,0.076078,0.009974,0.0,0.0,0.0,0.034137,0.080313,0.034137,3.0,0.337801,0.320021,0.336055,0.306954,0.014407,0.069895,0.012282,0.066521,0.112321,0.065136,0.020398,0.076332,0.009511,0.058113,-0.044564,0.048085
99173,0.022401,0.074711,0.011041,0.0,0.0,0.0,0.035346,0.079788,0.035346,3.0,0.343053,0.326033,0.329791,0.301388,0.01585,0.072043,0.013641,0.068668,0.101923,0.067946,0.021658,0.074965,0.010699,0.024943,-0.069214,0.050057
99193,0.023413,0.073104,0.012246,0.0,0.0,0.0,0.037175,0.078952,0.037175,3.0,0.337023,0.331555,0.334925,0.296343,0.017335,0.073985,0.015053,0.070069,0.092197,0.07026,0.023157,0.073355,0.011885,0.056275,-0.091306,0.054179
99219,0.02456,0.071735,0.013811,0.0,0.0,0.0,0.03963,0.077749,0.03963,3.0,0.344107,0.328507,0.330362,0.296658,0.01924,0.07614,0.016881,0.071722,0.080599,0.07299,0.024181,0.071743,0.013458,0.027588,-0.078641,0.055406
99233,0.024955,0.070865,0.014787,0.0,0.0,0.0,0.040744,0.077171,0.040744,3.0,0.334197,0.330185,0.324215,0.31303,0.020409,0.077293,0.018011,0.073009,0.073762,0.074757,0.024826,0.071113,0.014544,0.040901,-0.042693,0.071748
99257,0.02599,0.07059,0.016467,0.0,0.0,0.0,0.04276,0.076072,0.04276,3.0,0.347242,0.310769,0.329671,0.312657,0.022401,0.078989,0.019948,0.074402,0.063162,0.077185,0.025734,0.070596,0.016109,0.021219,0.006162,0.056436
99273,0.02664,0.070813,0.017542,0.0,0.0,0.0,0.043328,0.075751,0.043328,3.0,0.326646,0.328413,0.316728,0.330147,0.023615,0.079878,0.021137,0.075236,0.057045,0.078588,0.026386,0.070697,0.017308,0.045141,0.004294,0.087053
99293,0.027186,0.07152,0.018982,0.0,0.0,0.0,0.044587,0.075016,0.044587,3.0,0.341068,0.311082,0.3199,0.329078,0.025253,0.080924,0.02275,0.075779,0.049478,0.080044,0.026929,0.071405,0.018626,0.01603,0.040803,0.071901
99313,0.028103,0.072837,0.020281,0.0,0.0,0.0,0.045677,0.074357,0.045677,3.0,0.344032,0.303917,0.323152,0.329328,0.026903,0.081818,0.024389,0.075908,0.042462,0.081147,0.027598,0.07236,0.019939,0.017595,0.052715,0.066665
99333,0.029026,0.074273,0.0217,0.0,0.0,0.0,0.047888,0.072953,0.047888,3.0,0.33896,0.299853,0.328152,0.333302,0.028554,0.082573,0.026044,0.075851,0.035861,0.082016,0.028641,0.073913,0.021348,0.049098,0.061642,0.070696
99353,0.02996,0.076189,0.023229,0.0,0.0,0.0,0.049111,0.072135,0.049111,3.0,0.334072,0.289751,0.328643,0.345977,0.030213,0.083192,0.027717,0.076324,0.029222,0.083102,0.029821,0.075952,0.022871,0.063847,0.108613,0.075105
99373,0.031383,0.077736,0.024746,0.0,0.0,0.0,0.050441,0.071212,0.050441,3.0,0.333099,0.292638,0.334461,0.339037,0.031881,0.083678,0.029407,0.076359,0.023132,0.083849,0.03112,0.077379,0.024395,0.082069,0.072756,0.071226
99393,0.033053,0.079398,0.02625,0.0,0.0,0.0,0.051877,0.070173,0.051877,3.0,0.334708,0.28901,0.336437,0.338449,0.033551,0.084042,0.031108,0.076421,0.017232,0.084566,0.032663,0.079047,0.025782,0.081933,0.068116,0.069218
99413,0.034847,0.080688,0.027875,0.0,0.0,0.0,0.053747,0.068751,0.053747,3.0,0.330676,0.298052,0.323174,0.347599,0.035223,0.084287,0.032818,0.076514,0.011588,0.085187,0.034215,0.080341,0.027416,0.057138,0.062421,0.086974
99433,0.036516,0.081857,0.029382,0.0,0.0,0.0,0.053901,0.068631,0.053901,3.0,0.332137,0.288889,0.33252,0.344841,0.036901,0.084415,0.034539,0.076583,0.006181,0.085732,0.036005,0.08163,0.028918,0.07177,0.06881,0.074139
99466,0.040066,0.082718,0.032159,0.0,0.0,0.0,0.057676,0.06549,0.057676,3.0,0.340392,0.291557,0.34157,0.325235,0.039817,0.084395,0.037553,0.07599,-0.002275,0.086066,0.03931,0.082377,0.031709,0.072658,-0.005497,0.06223
