time_ms,roll,pitch,yaw,x,y,z,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted,value1,value2,value3,value4,value5,value6
60065,0.001464,0.004029,-0.000247,0.0,0.0,0.0,-0.0,-0.0,-0.0,3.0,0.334319,0.319407,0.332596,0.315275,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.001586,0.004029,-0.000126,0.0275,-0.00969,0.015635
60085,0.001587,0.004029,-0.000125,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.34124,0.316706,0.325594,0.317817,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.001465,0.004029,-0.000125,-0.010544,0.00353,0.015492
60105,0.001465,0.004151,-0.000125,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.348083,0.308332,0.337492,0.305433,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.001465,0.00403,-0.000247,0.002267,-0.006577,-0.001698
60125,0.001342,0.003785,-0.000247,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.353758,0.313411,0.330911,0.300771,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.001221,0.003785,-0.000247,-0.03178,-0.02949,-0.001202
60145,0.001342,0.003663,-0.000369,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.351554,0.307497,0.331986,0.308327,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.001222,0.003785,-0.000246,-0.022326,0.003263,2.3e-05
60165,0.001342,0.003662,-0.000247,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.339078,0.316103,0.32862,0.31764,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.001343,0.003785,-0.000247,0.004047,0.004978,0.015242
60185,0.001342,0.003907,-0.000247,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.351514,0.298904,0.334325,0.314094,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.00122,0.004028,-0.000369,-0.015861,0.036821,-0.001694
60205,0.001342,0.004029,-0.000369,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.350331,0.297766,0.339099,0.311263,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.001342,0.00415,-0.000369,0.000416,0.031677,-0.004988
60225,0.001342,0.004029,-0.000369,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.355552,0.296193,0.343139,0.301774,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.001342,0.00415,-0.000369,-0.003707,0.012024,-0.01406
60245,0.001464,0.004029,-0.000369,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.347562,0.304053,0.336964,0.310885,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.001464,0.00415,-0.000369,0.001862,0.015422,-0.000214
60265,0.001708,0.004151,-0.00037,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.349518,0.302849,0.334695,0.312282,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.001465,0.004273,-0.000369,-0.010287,0.021064,3e-06
60285,0.001709,0.004151,-0.000248,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.349541,0.30785,0.334666,0.307386,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.001587,0.004029,-0.000369,-0.01106,-0.002278,2.4e-05
60305,0.001708,0.004273,-0.00037,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.353037,0.307715,0.332253,0.306026,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.001465,0.004152,-0.000369,-0.027634,-0.006006,-0.001198
60325,0.001708,0.004151,-0.00037,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.354464,0.307479,0.329331,0.307771,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.001344,0.004151,-0.000369,-0.039435,-0.001356,6.6e-05
60345,0.001586,0.004273,-0.000492,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.356214,0.295865,0.341016,0.303777,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.001464,0.004273,-0.000491,-0.012763,0.015894,-0.012211
60365,0.001464,0.004273,-0.000369,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.351058,0.302413,0.333724,0.311965,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.001342,0.004395,-0.000491,-0.017353,0.019808,-0.00015
60385,0.001098,0.004151,-0.000369,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.338731,0.311035,0.330292,0.321213,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.001341,0.004394,-0.00037,0.008831,0.022147,0.014612
60405,0.000854,0.003907,-0.000368,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.34524,0.305144,0.339105,0.310111,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.001096,0.00415,-0.000369,0.01575,0.009317,0.00017
60425,0.000854,0.00354,-0.000368,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.346855,0.305147,0.337654,0.30987,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.000975,0.003783,-0.000368,0.007458,0.010162,-1.5e-05
60445,0.000976,0.00354,-0.000246,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.335371,0.314715,0.332013,0.31945,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.001097,0.003662,-0.000247,0.023929,0.011061,0.01586
60465,0.00122,0.00354,-0.000246,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.340211,0.310775,0.328856,0.321355,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.001098,0.003661,-0.000247,0.001622,0.025709,0.014199
60485,0.001098,0.003662,-0.000246,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.352694,0.304893,0.337265,0.303588,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.001099,0.00354,-0.000368,-0.011556,-0.003971,-0.005375
60505,0.001098,0.003785,-0.000368,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.353345,0.306663,0.336168,0.302261,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.000976,0.003541,-0.000368,-0.016077,-0.011624,-0.004982
60525,0.000976,0.003785,-0.000368,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.349529,0.30387,0.334981,0.31097,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.000977,0.003784,-0.000368,-0.008117,0.015134,-6.1e-05
60545,0.000854,0.004029,-0.000246,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.339716,0.310009,0.327575,0.323923,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.000976,0.004028,-0.000247,-9.1e-05,0.032018,0.015892
