time_ms,roll,pitch,yaw,x,y,z,reference_x,reference_y,reference_z,reference_yaw,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted,value1,value2,value3,value4,value5,value6
144715,0.007438,-0.013053,-0.035851,0.038457,-0.013347,0.678398,0.0,0.0,0.7,-0.0,0.586396,0.519094,0.57653,0.522863,0.0,-0.0,0.7,0.0,0.0,0.0,11.359685,-0.001681,-0.026344,0.0,0.0,0.0
144735,0.005937,-0.01125,-0.03525,0.038395,-0.012674,0.678046,0.0,0.0,0.7,-0.0,0.601265,0.519339,0.558034,0.526643,0.0,-0.0,0.7,0.0,0.0,0.0,11.370494,0.000725,-0.02678,0.0,0.0,0.0
144755,0.004362,-0.012133,-0.034769,0.038304,-0.01233,0.677679,-2.8e-05,0.0,0.699973,-0.0,0.60101,0.525322,0.559507,0.520544,0.0,-0.0,0.7,0.0,0.0,0.0,11.383732,0.004037,-0.027657,0.0,0.0,0.0
144775,0.005951,-0.012474,-0.034027,0.038368,-0.011756,0.677321,-0.001543,0.0,0.698457,-0.0,0.588345,0.525188,0.575221,0.51819,0.0,-0.0,0.7,0.0,0.0,0.0,11.384858,0.004044,-0.026935,0.0,0.0,0.0
144795,0.008257,-0.011949,-0.033281,0.038413,-0.0111,0.676941,-0.003165,0.0,0.696835,-0.0,0.584423,0.520835,0.577245,0.524763,0.0,-0.0,0.7,-0.0,0.0,-2e-06,11.384578,0.001561,-0.025965,0.0,0.0,0.0
144815,0.010589,-0.013013,-0.032529,0.038413,-0.0111,0.676941,-0.00541,0.0,0.69459,-0.0,0.577671,0.52289,0.582184,0.524141,-0.0,-0.0,0.699999,-2e-06,0.0,-9.9e-05,11.377239,0.000554,-0.026775,0.0,0.0,0.0
144835,0.012665,-0.01335,-0.03178,0.038434,-0.009951,0.676478,-0.00541,0.0,0.69459,-0.0,0.583641,0.519587,0.577893,0.52503,-0.0,-0.0,0.699996,-2.8e-05,0.0,-0.000331,11.371638,0.000694,-0.02781,0.0,0.0,0.0
144855,0.011926,-0.013245,-0.030932,0.038333,-0.009411,0.676088,-0.007705,0.0,0.692295,-0.0,0.588257,0.519383,0.567004,0.529163,-1e-06,-0.0,0.699987,-0.000113,0.0,-0.000739,11.338869,-0.002477,-0.028883,0.0,0.0,0.0
144875,0.010599,-0.014735,-0.03008,0.038151,-0.009116,0.675719,-0.009757,0.0,0.690243,-0.0,0.594526,0.526372,0.561044,0.522323,-5e-06,-0.0,0.699968,-0.000294,0.0,-0.001194,11.3484,0.000848,-0.029076,0.0,0.0,0.0
144895,0.011718,-0.016431,-0.029329,0.038136,-0.008559,0.67521,-0.011717,0.0,0.688283,-0.0,0.588667,0.53063,0.569833,0.514983,-1.3e-05,0.0,0.699941,-0.000576,0.0,-0.001788,11.347333,0.001444,-0.029636,0.0,0.0,0.0
144915,0.011604,-0.017413,-0.028715,0.038136,-0.008559,0.67521,-0.011717,0.0,0.688283,-0.0,0.587471,0.531543,0.566898,0.518426,-2.7e-05,0.0,0.699899,-0.000974,0.0,-0.002548,11.344042,-4.8e-05,-0.029687,0.0,0.0,0.0
144935,0.008687,-0.018925,-0.027759,0.038102,-0.00777,0.674756,-0.013714,0.0,0.686286,-0.0,0.593362,0.533313,0.560514,0.517105,-5e-05,0.0,0.699842,-0.001513,0.0,-0.003457,11.34773,-9.7e-05,-0.030834,0.0,0.0,0.0
144955,0.006757,-0.021152,-0.027039,0.037807,-0.007357,0.674274,-0.015776,0.0,0.684224,-0.0,0.594492,0.534743,0.562562,0.51015,-8.5e-05,0.0,0.699766,-0.002212,0.0,-0.004382,11.327213,-0.002801,-0.031447,0.0,0.0,0.0
144975,0.005315,-0.02337,-0.026439,0.037557,-0.006751,0.673806,-0.017844,0.0,0.682156,-0.0,0.594368,0.529642,0.559363,0.518935,-0.000136,0.0,0.699671,-0.003054,0.0,-0.0054,11.324767,-0.000971,-0.032703,0.0,0.0,0.0
144995,0.00338,-0.025595,-0.025604,0.037181,-0.006219,0.673442,-0.017844,0.0,0.682156,-0.0,0.595873,0.532262,0.561808,0.512098,-0.000204,0.0,0.699554,-0.004033,0.0,-0.006546,11.328829,-0.000635,-0.032461,0.0,0.0,0.0
145015,0.002667,-0.027802,-0.025001,0.036815,-0.005803,0.673088,-0.019856,0.0,0.680144,-0.0,0.596793,0.533406,0.564014,0.507413,-0.000293,0.0,0.699414,-0.00516,0.0,-0.007817,11.33007,0.000367,-0.032511,0.0,0.0,0.0
145035,0.000344,-0.028197,-0.024423,0.036485,-0.005317,0.672723,-0.021596,0.0,0.678404,-0.0,0.598804,0.526174,0.553788,0.523875,-0.000405,0.0,0.699248,-0.006442,0.0,-0.009076,11.331547,0.000879,-0.031344,0.0,0.0,0.0
145055,-0.003081,-0.028604,-0.023617,0.035832,-0.004934,0.672332,-0.023132,0.0,0.676868,-0.0,0.605775,0.526437,0.549586,0.518868,-0.000545,0.0,0.699057,-0.007854,0.0,-0.010397,11.320524,0.000556,-0.031413,0.0,0.0,0.0
145075,-0.003928,-0.030199,-0.0229,0.035251,-0.004613,0.671928,-0.024675,0.0,0.675325,-0.0,0.596916,0.533118,0.558425,0.512227,-0.000713,0.0,0.698839,-0.009379,0.0,-0.0118,11.312272,0.000566,-0.031925,0.0,0.0,0.0
