time_ms,roll,pitch,yaw,x,y,z,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted,value1,value2,value3,value4,value5,value6
163385,0.000488,0.001587,-0.000977,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.337058,0.316996,0.330306,0.317177,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.000487,0.001587,-0.000978,0.01836,0.015657,0.010266
163405,0.000488,0.001465,-0.001099,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.352053,0.310348,0.343002,0.291796,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.000487,0.001344,-0.001099,0.010569,-0.027901,-0.015762
163425,0.000487,0.001343,-0.001221,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.34596,0.315048,0.332954,0.306203,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.000488,0.001466,-0.001099,0.000154,-0.006366,-0.000221
163445,0.000487,0.001465,-0.001221,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.344021,0.31434,0.335921,0.305871,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.000487,0.001466,-0.001221,0.013995,-0.005451,-0.000668
163465,0.000487,0.001587,-0.001221,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.354341,0.314095,0.326661,0.304096,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.000123,0.001344,-0.001343,-0.040152,-0.00865,-0.001896
163485,0.000365,0.001709,-0.001343,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.353646,0.315372,0.326792,0.303467,-0.0,-0.0,-0.0,0.0,0.0,-0.0,1e-06,0.001467,-0.001343,-0.037184,-0.014008,-0.001256
163505,0.000243,0.001709,-0.001465,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.360511,0.308575,0.329123,0.29934,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.000121,0.001588,-0.001342,-0.051145,-0.007469,-0.010285
163525,0.000121,0.001709,-0.001465,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.356447,0.311246,0.334981,0.294924,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.001466,-0.001464,-0.0232,-0.023917,-0.011093
163545,0.000243,0.001709,-0.001465,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.35028,0.306262,0.332396,0.310606,-0.0,-0.0,-0.0,0.0,0.0,0.0,-1e-06,0.001831,-0.001587,-0.01192,0.024231,-0.002064
163565,0.000121,0.001709,-0.001465,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.349804,0.308824,0.336102,0.304458,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.000121,0.001709,-0.001588,-0.000781,0.003364,-0.004971
163585,0.000243,0.001709,-0.001587,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.357206,0.302413,0.339269,0.2981,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.000121,0.001709,-0.001587,-0.014017,0.003718,-0.015309
163605,0.000365,0.001709,-0.001588,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.349323,0.312211,0.331633,0.306617,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.000121,0.001709,-0.001587,-0.011767,4.2e-05,-0.000206
163625,0.000243,0.001709,-0.001587,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.350619,0.312749,0.332582,0.303433,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.000121,0.001588,-0.001709,-0.012992,-0.008553,-0.001908
163645,0.000365,0.001709,-0.00171,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.352893,0.310407,0.329496,0.306538,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.001709,-0.001709,-0.027664,0.00419,-0.001264
163665,0.000243,0.001587,-0.001709,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.35028,0.315194,0.331044,0.303019,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.000121,0.001588,-0.001709,-0.016234,-0.015862,-3e-06
163685,0.000365,0.001587,-0.00171,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.348024,0.305346,0.333538,0.312878,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.000242,0.001831,-0.00171,-0.003282,0.031586,-2e-06
163705,0.000243,0.001587,-0.001832,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.337594,0.314481,0.329342,0.320092,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.000364,0.00183,-0.00171,0.014589,0.027276,0.013975
