time_ms,roll,pitch,yaw,x,y,z,reference_x,reference_y,reference_z,reference_yaw,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted,value1,value2,value3,value4,value5,value6
191235,-0.024202,-0.017736,0.016999,0.060084,-0.065632,0.663106,0.0,0.0,0.7,-0.0,0.572014,0.550254,0.564867,0.533082,-0.0,0.0,0.7,0.0,0.0,0.0,11.509935,-0.057087,-0.036983,0.0,0.0,0.0
191255,-0.025415,-0.018847,0.015143,0.060429,-0.066542,0.663126,0.0,-2.7e-05,0.699973,-0.0,0.586877,0.548476,0.549097,0.534181,-0.0,0.0,0.7,0.0,0.0,0.0,11.498827,-0.050351,-0.036245,0.0,0.0,0.0
191275,-0.02651,-0.02106,0.013272,0.060661,-0.067139,0.663186,0.0,-0.001544,0.698456,-0.0,0.58006,0.549196,0.555728,0.533612,-0.0,0.0,0.7,0.0,0.0,0.0,11.49309,-0.051615,-0.03826,0.0,0.0,0.0
191295,-0.027475,-0.021929,0.011662,0.060889,-0.067622,0.663315,0.0,-0.00309,0.69691,-0.0,0.578525,0.539607,0.559436,0.54065,-0.0,0.0,0.7,0.0,-0.0,-1e-06,11.487096,-0.052358,-0.039507,0.0,0.0,0.0
191315,-0.027951,-0.023539,0.009803,0.061154,-0.067768,0.663495,0.0,-0.00309,0.69691,-0.0,0.578873,0.548638,0.562599,0.526505,-0.0,-0.0,0.699999,0.0,-2e-06,-9.9e-05,11.473512,-0.050611,-0.039719,0.0,0.0,0.0
191335,-0.029395,-0.023315,0.00796,0.061261,-0.067895,0.663891,0.0,-0.004944,0.695056,-0.0,0.581651,0.539494,0.554432,0.540044,-0.0,-0.0,0.699996,0.0,-2.8e-05,-0.000326,11.457351,-0.048296,-0.039727,0.0,0.0,0.0
191355,-0.029014,-0.025172,0.006228,0.061327,-0.067826,0.664308,0.0,-0.006562,0.693438,-0.0,0.579745,0.544965,0.556321,0.533898,-0.0,-1e-06,0.699987,0.0,-0.000112,-0.000587,11.448683,-0.045335,-0.040003,0.0,0.0,0.0
191375,-0.028382,-0.025811,0.004396,0.061433,-0.0673,0.664821,0.0,-0.008418,0.691582,-0.0,0.578923,0.53895,0.559667,0.534854,-0.0,-5e-06,0.699973,0.0,-0.000259,-0.000963,11.418894,-0.042162,-0.039521,0.0,0.0,0.0
191395,-0.028849,-0.026078,0.002676,0.061297,-0.066806,0.665318,0.0,-0.010439,0.689561,-0.0,0.582897,0.535251,0.552387,0.539536,-0.0,-1.1e-05,0.69995,0.0,-0.000486,-0.001474,11.392482,-0.038964,-0.038882,0.0,0.0,0.0
191415,-0.027482,-0.025981,0.000986,0.061297,-0.066806,0.665318,0.0,-0.010439,0.689561,-0.0,0.579831,0.539168,0.55416,0.534791,-0.0,-2.3e-05,0.699916,0.0,-0.000818,-0.002128,11.364684,-0.033951,-0.038719,0.0,0.0,0.0
191435,-0.025262,-0.027103,-0.000709,0.061233,-0.066026,0.665867,0.0,-0.012294,0.687706,-0.0,0.58171,0.543243,0.556756,0.52379,-0.0,-4.3e-05,0.699868,0.0,-0.001278,-0.002934,11.341857,-0.029925,-0.037487,0.0,0.0,0.0
191455,-0.020479,-0.027365,-0.002356,0.061126,-0.065052,0.666474,0.0,-0.014011,0.685989,-0.0,0.56283,0.540153,0.576453,0.528331,-0.0,-7.3e-05,0.699803,0.0,-0.001885,-0.003763,11.364759,-0.030697,-0.037199,0.0,0.0,0.0
191475,-0.018263,-0.025913,-0.003901,0.060739,-0.063537,0.667232,0.0,-0.016038,0.683962,-0.0,0.567471,0.53444,0.563555,0.54132,-0.0,-0.000116,0.699721,0.0,-0.002626,-0.004681,11.344687,-0.027115,-0.036948,0.0,0.0,0.0
191495,-0.01409,-0.026527,-0.005438,0.060025,-0.062067,0.668118,0.0,-0.018094,0.681906,-0.0,0.567603,0.541963,0.567623,0.526845,-0.0,-0.000175,0.69962,0.0,-0.003497,-0.005709,11.316764,-0.022524,-0.036621,0.0,0.0,0.0
191515,-0.009431,-0.025913,-0.007083,0.060025,-0.062067,0.668118,0.0,-0.018094,0.681906,-0.0,0.569034,0.530458,0.56603,0.535498,-0.0,-0.000252,0.699497,0.0,-0.004504,-0.006857,11.280089,-0.015683,-0.034917,0.0,0.0,0.0
191535,-0.004893,-0.026389,-0.008492,0.058615,-0.058408,0.670038,0.0,-0.02151,0.67849,-0.0,0.563542,0.535786,0.568254,0.530318,-0.0,-0.00035,0.699351,0.0,-0.005658,-0.008128,11.240896,-0.010246,-0.031652,0.0,0.0,0.0
191555,0.000125,-0.024903,-0.010013,0.058615,-0.058408,0.670038,0.0,-0.02151,0.67849,-0.0,0.557058,0.526513,0.582519,0.533785,-0.0,-0.000473,0.699179,0.0,-0.006963,-0.009387,11.275501,-0.015335,-0.032927,0.0,0.0,0.0
191575,0.004659,-0.024266,-0.011668,0.056961,-0.055062,0.671679,0.0,-0.024568,0.675432,-0.0,0.584814,0.536829,0.550584,0.518813,-0.0,-0.000623,0.698981,0.0,-0.008394,-0.010796,11.174093,0.000447,-0.027194,0.0,0.0,0.0
191595,0.010409,-0.023369,-0.013189,0.056961,-0.055062,0.671679,0.0,-0.024568,0.675432,-0.0,0.544586,0.526851,0.587813,0.534798,-0.0,-0.000802,0.698754,0.0,-0.009954,-0.012207,11.208837,-0.004816,-0.029234,0.0,0.0,0.0
191615,0.014069,-0.020649,-0.014629,0.056141,-0.052624,0.672518,0.0,-0.026278,0.673722,-0.0,0.5758,0.531586,0.559712,0.52158,-0.0,-0.001014,0.698499,0.0,-0.011627,-0.013732,11.139561,0.006719,-0.023422,0.0,0.0,0.0
191635,0.018722,-0.020356,-0.016172,0.054881,-0.050723,0.673486,0.0,-0.028398,0.671602,-0.0,0.550509,0.526696,0.585247,0.529631,-0.0,-0.00126,0.698213,0.0,-0.013408,-0.015239,11.184673,-0.000604,-0.026525,0.0,0.0,0.0
191655,0.023723,-0.018221,-0.017608,0.053931,-0.04904,0.674281,0.0,-0.030034,0.669966,-0.0,0.558239,0.518896,0.57467,0.540106,-0.0,-0.001542,0.697897,0.0,-0.015275,-0.016763,11.176607,0.004391,-0.026302,0.0,0.0,0.0
