time_ms,roll,pitch,yaw,x,y,z,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted,value1,value2,value3,value4,value5,value6
89084,-0.000242,0.002442,0.001832,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.299551,0.334572,0.308144,0.355774,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89104,-0.00012,0.002442,0.001832,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.304133,0.33318,0.311433,0.350609,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89124,-0.00012,0.00232,0.001832,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.303273,0.33293,0.308949,0.353638,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89144,-0.000242,0.002442,0.001832,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.30253,0.332089,0.30941,0.354628,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89164,-0.000486,0.002442,0.00171,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.304809,0.334529,0.307079,0.352454,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89184,-0.00073,0.002564,0.00171,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.305321,0.332149,0.310622,0.351277,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89204,-0.000852,0.002442,0.00171,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.304951,0.333706,0.307415,0.352825,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89224,-0.000852,0.002564,0.00171,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.311056,0.324628,0.316239,0.348516,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89244,-0.000731,0.002442,0.001588,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.298815,0.335807,0.310262,0.353452,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89264,-0.000608,0.002442,0.001588,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.297862,0.335268,0.308128,0.356476,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
