time_ms,roll,pitch,yaw,x,y,z,reference_x,reference_y,reference_z,reference_yaw,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted,value1,value2,value3,value4,value5,value6
55412,-0.010581,0.002835,0.028214,0.011115,-0.026433,0.684182,0.0,0.0,0.7,-0.0,0.580796,0.546466,0.545672,0.519795,0.0,0.0,0.7,0.0,-0.0,0.0,11.188477,-0.00069,0.009798,0.0,0.0,0.0
55432,-0.009218,0.00428,0.028097,0.011597,-0.026026,0.684996,-2.8e-05,-2.8e-05,0.7,-0.0,0.57661,0.539652,0.553384,0.522512,0.0,0.0,0.7,0.0,-0.0,0.0,11.177526,-0.000164,0.00917,0.0,0.0,0.0
55452,-0.008845,0.004763,0.028099,0.011872,-0.025591,0.685658,-2.8e-05,-2.8e-05,0.7,-0.0,0.579241,0.543112,0.545863,0.522888,0.0,0.0,0.7,0.0,-0.0,0.0,11.165684,0.001541,0.008908,0.0,0.0,0.0
55472,-0.007465,0.00743,0.028106,0.01221,-0.025227,0.686333,-0.003118,-0.003118,0.7,-0.0,0.575102,0.527767,0.549212,0.538623,0.0,0.0,0.7,-0.0,-0.0,0.0,11.155601,0.003111,0.008072,0.0,0.0,0.0
55492,-0.006977,0.007423,0.028104,0.012572,-0.024692,0.687041,-0.003118,-0.003118,0.7,-0.0,0.571905,0.540258,0.549167,0.529453,-0.0,-0.0,0.7,-5e-06,-5e-06,0.0,11.153205,0.004368,0.008365,0.0,0.0,0.0
55512,-0.004882,0.008737,0.028222,0.013173,-0.023889,0.687996,-0.004773,-0.004773,0.7,-0.0,0.586107,0.514582,0.536087,0.551899,-0.0,-0.0,0.7,-3.7e-05,-3.8e-05,0.0,11.150615,0.018356,-0.00499,0.0,0.0,0.0
55532,-0.002663,0.010171,0.028459,0.013653,-0.023398,0.688721,-0.006617,-0.006617,0.7,-0.0,0.574752,0.536497,0.545337,0.533581,-4e-06,-4e-06,0.7,-0.000526,-0.000535,0.0,11.146913,0.017189,-0.002731,0.0,0.0,0.0
55552,-0.00108,0.009782,0.028817,0.013653,-0.023398,0.688721,-0.008483,-0.008483,0.7,-0.0,0.57874,0.531077,0.53679,0.542077,-2.1e-05,-2.2e-05,0.7,-0.001589,-0.001618,0.0,11.133302,0.024529,-0.009106,0.0,0.0,0.0
55572,0.002681,0.008018,0.029289,0.014337,-0.022246,0.689663,-0.010167,-0.010167,0.7,-0.0,0.572739,0.538592,0.543117,0.534586,-6.4e-05,-6.6e-05,0.7,-0.003255,-0.003313,0.0,11.131164,0.030012,-0.014669,0.0,0.0,0.0
55592,0.008,0.004275,0.030018,0.014959,-0.021443,0.690374,-0.012043,-0.012043,0.7,-0.0,0.564764,0.555168,0.547599,0.523819,-0.000146,-0.000149,0.7,-0.005667,-0.005765,0.0,11.159288,0.032513,-0.017327,0.0,0.0,0.0
55612,0.01221,5.6e-05,0.030765,0.015527,-0.020521,0.691067,-0.012043,-0.012043,0.7,-0.0,0.566829,0.556788,0.542929,0.523328,-0.000283,-0.000288,0.7,-0.008916,-0.009066,0.0,11.143399,0.038789,-0.021761,0.0,0.0,0.0
55632,0.018365,-0.004441,0.031656,0.016124,-0.019638,0.691772,-0.014045,-0.014045,0.7,-0.0,0.553084,0.555907,0.551561,0.529759,-0.000491,-0.000499,0.7,-0.012998,-0.013208,0.0,11.140426,0.043305,-0.026047,0.0,0.0,0.0
