time_ms,roll,pitch,yaw,x,y,z,reference_x,reference_y,reference_z,reference_yaw,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted,value1,value2,value3,value4,value5,value6
137672,0.035623,-0.018854,-0.01016,0.015677,0.01146,0.647852,0.0,0.0,0.7,-0.0,0.55332,0.538031,0.583005,0.5378,-0.001323,0.0,0.700126,-3.7e-05,-0.0,0.001902,11.417455,0.033158,-0.031454,0.0,0.0,0.0
137692,0.03732,-0.019484,-0.008545,0.015905,0.012257,0.648653,0.0,0.0,0.7,-0.0,0.560212,0.537805,0.575939,0.539793,-0.001323,0.0,0.700163,-1.5e-05,-0.0,0.001868,11.43202,0.028824,-0.030176,0.0,0.0,0.0
137712,0.039269,-0.021946,-0.007014,0.015956,0.012892,0.649334,0.0,-3.4e-05,0.699966,-0.0,0.564824,0.545529,0.570256,0.532094,-0.001323,0.0,0.700201,8e-06,-0.0,0.001835,11.418573,0.031496,-0.031316,0.0,0.0,0.0
137732,0.041695,-0.021964,-0.005644,0.016116,0.013242,0.650056,0.0,-0.001559,0.698441,-0.0,0.560987,0.535099,0.577337,0.537594,-0.001323,0.0,0.700237,3e-05,-0.0,0.0018,11.401717,0.031039,-0.031116,0.0,0.0,0.0
137752,0.04107,-0.021503,-0.00444,0.016063,0.013763,0.650838,0.0,-0.003105,0.696895,-0.0,0.57543,0.535161,0.563972,0.535599,-0.001322,0.0,0.700273,5.2e-05,-0.0,0.001748,11.391681,0.030191,-0.030227,0.0,0.0,0.0
137772,0.042279,-0.022746,-0.00318,0.015776,0.013648,0.651843,0.0,-0.004698,0.695302,-0.0,0.568874,0.536535,0.565366,0.533764,-0.001321,-0.0,0.700303,7.3e-05,-1.7e-05,0.000908,11.320475,0.034757,-0.030011,0.0,0.0,0.0
137792,0.041898,-0.023629,-0.001823,0.015776,0.013648,0.651843,0.0,-0.006681,0.693319,-0.0,0.569916,0.534341,0.557851,0.537575,-0.00132,-2e-06,0.70031,9.5e-05,-0.000277,-0.000843,11.259277,0.039373,-0.028949,0.0,0.0,0.0
137812,0.042493,-0.021094,-0.000528,0.015553,0.013816,0.652907,0.0,-0.006681,0.693319,-0.0,0.563953,0.526653,0.562078,0.541842,-0.001317,-1.2e-05,0.700276,0.000115,-0.001058,-0.003367,11.197997,0.040691,-0.027107,0.0,0.0,0.0
137832,0.043942,-0.02088,0.000947,0.014949,0.013344,0.654081,0.0,-0.00955,0.69045,-0.0,0.57161,0.534935,0.553426,0.53237,-0.001315,-4.3e-05,0.700185,0.000135,-0.002537,-0.006723,11.172348,0.044032,-0.02687,0.0,0.0,0.0
137852,0.045639,-0.020546,0.002299,0.014485,0.012969,0.655151,0.0,-0.011322,0.688678,-0.0,0.551624,0.53271,0.568867,0.540993,-0.001312,-0.00011,0.700026,0.000155,-0.004852,-0.009789,11.191167,0.039055,-0.025741,0.0,0.0,0.0
