time_ms,roll,pitch,yaw,x,y,z,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted,value1,value2,value3,value4,value5,value6
113265,-0.000366,0.000244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.34895,0.315945,0.331998,0.302761,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.000122,0.000366,0.000122,0.00035,-0.006861,0.001766
113285,-0.000122,0.000366,0.000122,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.345294,0.313982,0.33636,0.30424,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.000123,0.000243,0.000122,0.023143,0.002194,0.001284
113305,-0.000244,-0.000122,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.344178,0.313811,0.337512,0.304416,-0.0,0.0,0.0,0.0,0.0,0.0,-1e-06,0.000121,0.000122,0.029066,0.003585,0.001278
113325,-0.000244,-0.000366,0.000122,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.347326,0.318929,0.334235,0.298955,-0.0,0.0,0.0,0.0,0.0,0.0,-0.000123,-0.000244,0.000122,0.011323,-0.020844,0.001278
113345,-0.000488,-0.000732,0.000244,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.352227,0.316105,0.330353,0.30044,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.000366,-0.000611,0.000122,-0.012719,-0.00846,1.2e-05
113365,-0.000244,-0.000855,0.000244,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.350931,0.319713,0.330641,0.297798,-0.0,0.0,0.0,0.0,0.0,0.0,-0.000366,-0.000976,0.000244,-0.008071,-0.022274,0.000648
113385,-0.000244,-0.001099,0.000244,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.349664,0.319373,0.330191,0.300259,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.000243,-0.000976,0.000366,-0.006092,-0.015561,0.001921
113405,-0.000366,-0.001343,0.000366,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.335368,0.326916,0.328056,0.311169,-0.0,0.0,-0.0,0.0,0.0,-0.0,-1e-06,-0.001099,0.000488,0.02803,-0.008243,0.01721
113425,-0.000367,-0.001465,0.000366,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.337529,0.317318,0.334182,0.31216,-0.0,0.0,-0.0,0.0,0.0,0.0,-2e-06,-0.0011,0.000366,0.038782,0.019338,0.009921
113445,-0.000367,-0.001465,0.000366,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.345473,0.316375,0.336474,0.301365,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.000124,-0.001343,0.000366,0.023032,-0.003458,0.000157
