time_ms,roll,pitch,yaw,x,y,z,reference_x,reference_y,reference_z,reference_yaw,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted,value1,value2,value3,value4,value5,value6
87455,-0.012989,-0.005003,0.019135,-0.033074,0.01011,0.73922,0.0,0.0,0.7,-0.0,0.561439,0.546031,0.540929,0.538073,-0.0,-0.0,0.7,-0.0,0.0,-0.0,11.092775,-0.009069,-0.004003,0.0,0.0,0.0
87475,-0.010553,-0.005512,0.019627,-0.032265,0.009407,0.738837,-4.4e-05,-4.4e-05,0.7,-0.0,0.556855,0.547184,0.540805,0.542336,-0.0,-0.0,0.7,-0.0,0.0,-0.0,11.099099,-0.009384,-0.005544,0.0,0.0,0.0
87495,-0.006537,-0.006526,0.020247,-0.031355,0.008625,0.738455,-4.4e-05,-4.4e-05,0.7,-0.0,0.553712,0.551776,0.549272,0.532155,-0.0,-0.0,0.7,-0.0,0.0,-0.0,11.097677,-0.008047,-0.00556,0.0,0.0,0.0
87515,-0.004344,-0.006914,0.020619,-0.031355,0.008625,0.738455,-0.001704,-0.001704,0.7,-0.0,0.561979,0.551365,0.542891,0.530192,-0.0,-0.0,0.7,-0.0,-0.0,-0.0,11.095062,-0.006611,-0.004606,0.0,0.0,0.0
87535,-0.001433,-0.008653,0.020873,-0.030081,0.007886,0.737904,-0.003692,-0.003692,0.7,-0.0,0.55154,0.553842,0.546484,0.534726,-0.0,-0.0,0.7,-1e-06,-1e-06,-0.0,11.092803,-0.006122,-0.004323,0.0,0.0,0.0
87555,0.000872,-0.009776,0.021372,-0.029174,0.007153,0.737492,-0.005536,-0.005536,0.7,-0.0,0.556162,0.556489,0.540398,0.531122,-0.0,-0.0,0.7,-4e-06,-4e-06,-0.0,11.066925,-0.00106,-8.4e-05,0.0,0.0,0.0
87575,0.003078,-0.008824,0.021869,-0.027989,0.005966,0.736952,-0.007383,-0.007383,0.7,-0.0,0.561153,0.541297,0.541553,0.541286,-0.0,-0.0,0.7,-3.4e-05,-3.4e-05,-0.0,11.078111,-0.000323,-0.00338,0.0,0.0,0.0
87595,0.007087,-0.010456,0.022258,-0.027143,0.004838,0.736499,-0.009088,-0.009088,0.7,-0.0,0.551279,0.555722,0.54726,0.531635,-2e-06,-2e-06,0.7,-0.000132,-0.000134,-0.0,11.085902,-0.000674,-0.005685,0.0,0.0,0.0
87615,0.008456,-0.007909,0.02262,-0.027143,0.004838,0.736499,-0.009088,-0.009088,0.7,-0.0,0.551137,0.534135,0.545474,0.556266,-5e-06,-6e-06,0.7,-0.000332,-0.000338,-0.0,11.098558,-0.003476,-0.008942,0.0,0.0,0.0
87635,0.011611,-0.009413,0.02325,-0.02631,0.004099,0.736045,-0.010927,-0.010927,0.7,-0.0,0.542174,0.552857,0.556247,0.536174,-1.4e-05,-1.5e-05,0.7,-0.00066,-0.000672,-0.0,11.103716,-0.005617,-0.00989,0.0,0.0,0.0
87655,0.013087,-0.008333,0.023616,-0.025363,0.002916,0.735593,-0.01288,-0.01288,0.7,-0.0,0.560577,0.548364,0.540032,0.536102,-3.1e-05,-3.1e-05,0.7,-0.001134,-0.001153,-0.0,11.076302,-0.001405,-0.004965,0.0,0.0,0.0
87675,0.014166,-0.009814,0.023996,-0.024455,0.001408,0.735128,-0.01472,-0.01472,0.7,-0.0,0.558239,0.55415,0.539923,0.532873,-5.8e-05,-5.9e-05,0.7,-0.00174,-0.001769,-0.0,11.078592,-8.5e-05,-0.005713,0.0,0.0,0.0
87695,0.013433,-0.009685,0.024358,-0.023656,4.4e-05,0.734719,-0.01645,-0.01645,0.7,-0.0,0.559835,0.543609,0.538346,0.544244,-9.8e-05,-0.0001,0.7,-0.002476,-0.002515,-0.0,11.086615,-0.002226,-0.008351,0.0,0.0,0.0
