time_ms,roll,pitch,yaw,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted,value1,value2,value3,value4,value5,value6
34696,-0.000488,0.004273,0.000123,-0.0,-0.0,-0.0,3.0,0.314834,0.329959,0.326538,0.332684,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.017745,-0.018101,-0.016182,0.020706,-0.034325,-0.000202
34716,-0.000366,0.003907,0.000123,0.000944,0.087261,0.001888,3.0,0.372021,0.31947,0.275862,0.32731,0.0,0.000116,0.0,0.000264,0.046335,0.000401,0.017516,-0.018311,-0.016182,0.017627,2e-06,-3.6e-05
34736,-0.000732,0.003662,0.000123,0.002128,0.087241,0.004257,3.0,0.380408,0.310529,0.281833,0.32085,1.4e-05,0.001696,2.2e-05,0.001819,0.129307,0.002889,0.017375,-0.018661,-0.016182,-0.020687,0.017563,0.02102
34756,-0.000854,0.004029,0.000368,0.003383,0.087201,0.006766,3.0,0.382492,0.305339,0.2857,0.319875,6.6e-05,0.00478,0.000107,0.004199,0.191441,0.007081,0.016866,-0.018781,-0.016077,-0.016679,0.038408,0.024892
34776,-0.001218,0.004884,0.00098,0.006157,0.087049,0.012314,3.0,0.387075,0.29156,0.302306,0.311622,0.000172,0.008962,0.000288,0.007616,0.235215,0.013497,0.016661,-0.018202,-0.015708,-0.003687,0.045389,0.045585
34796,-0.001214,0.006838,0.001958,0.00748,0.086945,0.014961,3.0,0.373116,0.301794,0.300846,0.321441,0.000362,0.013906,0.000626,0.012331,0.264436,0.022823,0.016562,-0.016784,-0.014885,-0.007362,0.077035,0.052904
34816,-0.00096,0.010012,0.003301,0.009786,0.086716,0.019572,3.0,0.373741,0.292096,0.322358,0.308393,0.000649,0.019345,0.001157,0.016997,0.282409,0.033149,0.016778,-0.014266,-0.013888,-0.020621,0.171448,0.090978
34836,-0.000575,0.01465,0.004766,0.010911,0.086582,0.021822,3.0,0.358939,0.301183,0.326657,0.313767,0.001044,0.025074,0.001912,0.02205,0.291657,0.045039,0.017142,-0.010387,-0.012439,0.004472,0.262054,0.094389
34856,0.000311,0.020629,0.006468,0.013136,0.086272,0.026273,3.0,0.349257,0.299713,0.339661,0.312433,0.001544,0.030935,0.002906,0.026672,0.29429,0.057087,0.017656,-0.005043,-0.01073,0.046858,0.310447,0.072726
34876,0.001214,0.027707,0.008288,0.014205,0.086103,0.028411,3.0,0.333301,0.308008,0.344825,0.316557,0.002155,0.036807,0.004155,0.031429,0.291833,0.069926,0.018514,0.001377,-0.008922,0.076336,0.362755,0.09666
34896,0.002383,0.035879,0.010342,0.016396,0.085712,0.032793,3.0,0.321205,0.307464,0.354027,0.31921,0.002872,0.042599,0.005658,0.035717,0.285624,0.082426,0.019465,0.008932,-0.006878,0.111847,0.42828,0.09939
34916,0.003948,0.045147,0.012623,0.018183,0.085351,0.036366,3.0,0.313776,0.304275,0.370078,0.310426,0.003698,0.048241,0.007422,0.040203,0.276535,0.095395,0.020856,0.017684,-0.004832,0.057865,0.456448,0.121113
34936,0.005781,0.054409,0.015008,0.019972,0.08495,0.039943,3.0,0.307799,0.305372,0.380229,0.302111,0.004636,0.053683,0.009449,0.044576,0.26538,0.108254,0.022645,0.027057,-0.00256,0.086993,0.480317,0.119624
34956,0.007651,0.064401,0.017624,0.02088,0.084732,0.04176,3.0,0.286541,0.313221,0.38107,0.313337,0.005686,0.058887,0.011737,0.048567,0.25282,0.120463,0.024427,0.036772,-7.5e-05,0.119159,0.508312,0.121459
34976,0.009794,0.074263,0.020339,0.023432,0.084062,0.046864,3.0,0.289475,0.306688,0.39396,0.299661,0.006833,0.063829,0.014261,0.052015,0.239371,0.131535,0.026642,0.046759,0.002542,0.086576,0.5081,0.138772
34996,0.012329,0.083625,0.023146,0.024638,0.083716,0.049275,3.0,0.270762,0.321419,0.386122,0.311749,0.008084,0.068491,0.017018,0.055973,0.225129,0.142968,0.028785,0.056391,0.005463,0.111725,0.482491,0.123035
35016,0.014766,0.092374,0.026071,0.026772,0.083058,0.053544,3.0,0.278545,0.315041,0.391052,0.305101,0.009436,0.07286,0.019996,0.05937,0.210651,0.153148,0.031226,0.065435,0.008268,0.109571,0.450934,0.144319
35036,0.016978,0.10026,0.029116,0.027931,0.082676,0.055862,3.0,0.280078,0.314357,0.390664,0.305002,0.010886,0.076932,0.023183,0.06281,0.19598,0.1629,0.033548,0.073708,0.011214,0.131337,0.362082,0.159489
35056,0.019201,0.106802,0.032289,0.029277,0.082209,0.058554,3.0,0.280537,0.315151,0.390322,0.304239,0.012426,0.080705,0.026556,0.065556,0.181521,0.171054,0.035885,0.081095,0.014252,0.131883,0.300223,0.160211
35076,0.021544,0.112108,0.03545,0.031356,0.081438,0.062713,3.0,0.293275,0.313332,0.386022,0.300333,0.014042,0.084184,0.030084,0.067922,0.167311,0.17794,0.038208,0.086833,0.017417,0.11664,0.2858,0.18151
35096,0.023523,0.115942,0.038879,0.032452,0.081008,0.064903,3.0,0.292838,0.320174,0.374657,0.308826,0.015733,0.087371,0.033753,0.07046,0.153245,0.18439,0.040448,0.09145,0.020692,0.090416,0.212928,0.166173
35116,0.025361,0.118808,0.042083,0.034869,0.079997,0.069738,3.0,0.303819,0.311082,0.376733,0.305001,0.01749,0.090272,0.03754,0.072651,0.139576,0.189661,0.042315,0.094937,0.024012,0.085557,0.125,0.165951
35136,0.026697,0.120077,0.045563,0.036554,0.079241,0.073109,3.0,0.305348,0.31316,0.36608,0.314984,0.019317,0.092892,0.041437,0.075256,0.126034,0.194973,0.043803,0.097087,0.027477,0.081194,0.056271,0.167916
35156,0.028026,0.120487,0.049175,0.037361,0.078864,0.074723,3.0,0.306331,0.318437,0.354625,0.32235,0.021214,0.095235,0.045435,0.077387,0.113018,0.199114,0.045154,0.098061,0.030966,0.07789,0.01952,0.188434
35176,0.028988,0.120536,0.052936,0.03903,0.078052,0.07806,3.0,0.311203,0.318144,0.348906,0.324466,0.02316,0.097315,0.049499,0.078682,0.100747,0.201444,0.046334,0.098137,0.034591,0.039331,-0.007431,0.191097
35196,0.029675,0.119983,0.056476,0.040854,0.077113,0.081709,3.0,0.317863,0.311504,0.349994,0.32325,0.025144,0.099143,0.053605,0.080042,0.088827,0.203249,0.047173,0.097814,0.038232,0.054108,-0.049632,0.169122
35216,0.03046,0.119177,0.059755,0.041943,0.076526,0.083885,3.0,0.31736,0.313615,0.347063,0.324961,0.027168,0.100726,0.057744,0.081445,0.077258,0.204608,0.047959,0.097133,0.041766,0.03646,-0.070031,0.170444
