time_ms,roll,pitch,yaw,x,y,z,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted,value1,value2,value3,value4,value5,value6
199964,0.002812,-0.001825,-0.004271,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.299436,0.355763,0.277278,0.359139,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
199984,0.002812,-0.001703,-0.004393,0.0,0.0,0.0,0.000759,0.087263,0.000759,3.0,0.33517,0.564954,0.303723,0.15,1e-06,0.001365,-0.000132,0.004422,0.417667,-0.036146,0.0,0.0,0.0,0.0,0.0,0.0
200015,0.003297,-0.000605,-0.00354,0.0,0.0,0.0,0.003767,0.087185,0.003767,3.0,0.33918,0.375545,0.289616,0.286309,0.000404,0.020303,-0.001216,0.028597,0.561617,-0.008292,0.0,0.0,0.0,0.0,0.0,0.0
200024,0.003173,0.000492,-0.002443,0.0,0.0,0.0,0.004417,0.087155,0.004417,3.0,0.340853,0.374362,0.284566,0.290911,0.000546,0.023111,-0.001256,0.034202,0.549426,-0.001093,0.0,0.0,0.0,0.0,0.0,0.0
200044,0.003052,0.004395,-0.000129,0.0,0.0,0.0,0.005234,0.087109,0.005234,3.0,0.244302,0.418645,0.170398,0.380448,0.001394,0.033739,-0.001071,0.051326,0.498046,0.021675,0.0,0.0,0.0,0.0,0.0,0.0
200064,0.003058,0.010619,0.001205,0.0,0.0,0.0,0.007419,0.086951,0.007419,3.0,0.341876,0.342443,0.276614,0.334896,0.002441,0.043306,-0.000573,0.061486,0.45393,0.0362,0.0,0.0,0.0,0.0,0.0,0.0
200084,0.003803,0.019772,0.001916,0.0,0.0,0.0,0.009212,0.086779,0.009212,3.0,0.320531,0.327753,0.279293,0.366549,0.003811,0.052036,0.000304,0.077676,0.408892,0.055781,0.0,0.0,0.0,0.0,0.0,0.0
200104,0.004808,0.030879,0.00298,0.0,0.0,0.0,0.011454,0.086512,0.011454,3.0,0.36277,0.261587,0.316467,0.348626,0.005434,0.059895,0.001488,0.084104,0.368778,0.065192,0.0,0.0,0.0,0.0,0.0,0.0
200124,0.00656,0.042714,0.004137,0.0,0.0,0.0,0.012606,0.086351,0.012606,3.0,0.30479,0.306171,0.27497,0.398197,0.007293,0.066974,0.002939,0.093819,0.331396,0.076942,0.0,0.0,0.0,0.0,0.0,0.0
200144,0.008702,0.055769,0.005506,0.0,0.0,0.0,0.014555,0.086044,0.014555,3.0,0.306624,0.282551,0.285102,0.40627,0.009281,0.073342,0.004549,0.100496,0.298244,0.085134,0.0,0.0,0.0,0.0,0.0,0.0
200164,0.011473,0.068945,0.006828,0.0,0.0,0.0,0.016317,0.085727,0.016317,3.0,0.31012,0.261964,0.29309,0.410721,0.011406,0.079074,0.006306,0.103588,0.269106,0.089299,0.0,0.0,0.0,0.0,0.0,0.0
200184,0.014877,0.081136,0.008343,0.0,0.0,0.0,0.017189,0.085557,0.017189,3.0,0.259103,0.297378,0.268389,0.434733,0.013622,0.084239,0.008162,0.102509,0.243732,0.089005,0.0,0.0,0.0,0.0,0.0,0.0
200207,0.018511,0.092592,0.009202,0.0,0.0,0.0,0.020907,0.084725,0.020907,3.0,0.351784,0.178418,0.336111,0.382294,0.016366,0.09001,0.010469,0.111212,0.213153,0.097727,0.0,0.0,0.0,0.0,0.0,0.0
200224,0.022782,0.102326,0.010499,0.0,0.0,0.0,0.021955,0.08446,0.021955,3.0,0.32459,0.235255,0.326067,0.390447,0.018228,0.09309,0.012042,0.118421,0.195716,0.104447,0.0,0.0,0.0,0.0,0.0,0.0
200253,0.029521,0.113228,0.013941,0.0,0.0,0.0,0.024661,0.083709,0.024661,3.0,0.297284,0.27912,0.308472,0.399195,0.022047,0.098542,0.015256,0.117258,0.167253,0.10298,0.0,0.0,0.0,0.0,0.0,0.0
200264,0.03192,0.116005,0.014873,0.0,0.0,0.0,0.025213,0.083545,0.025213,3.0,0.280477,0.29757,0.303852,0.401403,0.023336,0.100166,0.016337,0.120831,0.157306,0.106141,0.0,0.0,0.0,0.0,0.0,0.0
200284,0.036422,0.119723,0.016024,0.0,0.0,0.0,0.025864,0.083346,0.025864,3.0,0.241231,0.332818,0.293496,0.404518,0.025954,0.103137,0.018521,0.116611,0.141725,0.1016,0.0,0.0,0.0,0.0,0.0,0.0
200304,0.040772,0.121859,0.016829,0.0,0.0,0.0,0.027371,0.082863,0.027371,3.0,0.295789,0.301517,0.329155,0.368728,0.028396,0.105831,0.020538,0.110309,0.127971,0.095166,0.0,0.0,0.0,0.0,0.0,0.0
200324,0.044731,0.122651,0.017429,0.0,0.0,0.0,0.029832,0.082009,0.029832,3.0,0.328478,0.273438,0.347471,0.345274,0.030778,0.108234,0.022489,0.115864,0.112694,0.09967,0.0,0.0,0.0,0.0,0.0,0.0
200344,0.048486,0.122693,0.018795,0.0,0.0,0.0,0.030876,0.081622,0.030876,3.0,0.255482,0.343078,0.302488,0.38238,0.033333,0.110313,0.024567,0.116652,0.098244,0.099686,0.0,0.0,0.0,0.0,0.0,0.0
200364,0.051646,0.121754,0.020591,0.0,0.0,0.0,0.033201,0.080704,0.033201,3.0,0.319459,0.311106,0.327021,0.343392,0.035841,0.112125,0.026585,0.1169,0.08442,0.099382,0.0,0.0,0.0,0.0,0.0,0.0
200384,0.0543,0.12008,0.022313,0.0,0.0,0.0,0.034593,0.080117,0.034593,3.0,0.265067,0.357298,0.284842,0.376371,0.038451,0.113624,0.028673,0.12211,0.069141,0.103699,0.0,0.0,0.0,0.0,0.0,0.0
200404,0.056582,0.118401,0.024057,0.0,0.0,0.0,0.035304,0.079806,0.035304,3.0,0.241262,0.370877,0.272788,0.384953,0.04106,0.114862,0.030742,0.113657,0.060384,0.095209,0.0,0.0,0.0,0.0,0.0,0.0
200424,0.058087,0.117007,0.024986,0.0,0.0,0.0,0.037911,0.078601,0.037911,3.0,0.36113,0.268403,0.346456,0.315596,0.043474,0.115937,0.03263,0.111685,0.049332,0.093017,0.0,0.0,0.0,0.0,0.0,0.0
200444,0.05934,0.116232,0.025669,0.0,0.0,0.0,0.039396,0.077868,0.039396,3.0,0.323255,0.313154,0.316516,0.347709,0.046004,0.116719,0.034601,0.120226,0.03367,0.100639,0.0,0.0,0.0,0.0,0.0,0.0
200480,0.06061,0.116249,0.028546,0.0,0.0,0.0,0.042519,0.076207,0.042519,3.0,0.329443,0.299428,0.310949,0.358214,0.050461,0.117522,0.038037,0.116188,0.016521,0.096389,0.0,0.0,0.0,0.0,0.0,0.0
200488,0.061027,0.116337,0.029379,0.0,0.0,0.0,0.043439,0.075687,0.043439,3.0,0.299327,0.324566,0.288869,0.379157,0.051743,0.117622,0.039019,0.118951,0.009657,0.098907,0.0,0.0,0.0,0.0,0.0,0.0
200504,0.061485,0.117146,0.030685,0.0,0.0,0.0,0.044427,0.075111,0.044427,3.0,0.318598,0.304522,0.301251,0.371187,0.053707,0.117648,0.040519,0.118923,0.001835,0.098765,0.0,0.0,0.0,0.0,0.0,0.0
200524,0.062087,0.117941,0.032351,0.0,0.0,0.0,0.045178,0.074662,0.045178,3.0,0.290329,0.331807,0.279398,0.385911,0.056273,0.117526,0.042465,0.113025,-0.004795,0.093202,0.0,0.0,0.0,0.0,0.0,0.0
200544,0.062902,0.118992,0.033382,0.0,0.0,0.0,0.046766,0.073677,0.046766,3.0,0.321677,0.292705,0.310483,0.370351,0.05866,0.117306,0.044254,0.108631,-0.011914,0.089208,0.0,0.0,0.0,0.0,0.0,0.0
200564,0.064071,0.119909,0.034263,0.0,0.0,0.0,0.047561,0.073167,0.047561,3.0,0.290568,0.320565,0.296,0.383575,0.061004,0.116914,0.045999,0.104339,-0.018529,0.085262,0.0,0.0,0.0,0.0,0.0,0.0
200584,0.065752,0.120941,0.035367,0.0,0.0,0.0,0.050138,0.071426,0.050138,3.0,0.364107,0.219566,0.348883,0.341406,0.063219,0.116415,0.047631,0.103716,-0.027288,0.084965,0.0,0.0,0.0,0.0,0.0,0.0
200604,0.067825,0.121938,0.036929,0.0,0.0,0.0,0.050496,0.071173,0.050496,3.0,0.247365,0.336593,0.282459,0.405518,0.065553,0.115648,0.049355,0.105238,-0.037188,0.086624,0.0,0.0,0.0,0.0,0.0,0.0
200624,0.070024,0.122679,0.038612,0.0,0.0,0.0,0.052203,0.06993,0.052203,3.0,0.299599,0.299616,0.309676,0.383039,0.06775,0.1148,0.05096,0.099006,-0.041297,0.081276,0.0,0.0,0.0,0.0,0.0,0.0
200644,0.072544,0.122942,0.039673,0.0,0.0,0.0,0.054082,0.068487,0.054082,3.0,0.319902,0.27162,0.331066,0.369367,0.069918,0.113795,0.052541,0.103282,-0.053042,0.085837,0.0,0.0,0.0,0.0,0.0,0.0
200664,0.075308,0.122826,0.040852,0.0,0.0,0.0,0.055313,0.067498,0.055313,3.0,0.282319,0.31083,0.313799,0.383552,0.072179,0.112546,0.054197,0.105396,-0.0631,0.088405,0.0,0.0,0.0,0.0,0.0,0.0
200684,0.078322,0.122201,0.042279,0.0,0.0,0.0,0.056907,0.066159,0.056907,3.0,0.330791,0.258332,0.345083,0.355769,0.074398,0.111159,0.055817,0.09736,-0.064527,0.081562,0.0,0.0,0.0,0.0,0.0,0.0
200708,0.082443,0.121171,0.043902,0.0,0.0,0.0,0.058808,0.064475,0.058808,3.0,0.309513,0.28257,0.338301,0.363967,0.077064,0.109279,0.057759,0.099167,-0.076143,0.0843,0.0,0.0,0.0,0.0,0.0,0.0
200724,0.08505,0.120317,0.044867,0.0,0.0,0.0,0.059731,0.063621,0.059731,3.0,0.302958,0.285514,0.339955,0.365552,0.078698,0.107997,0.058953,0.100529,-0.083353,0.086187,0.0,0.0,0.0,0.0,0.0,0.0
200748,0.089401,0.118645,0.046619,0.0,0.0,0.0,0.061342,0.062069,0.061342,3.0,0.305108,0.285131,0.341432,0.362789,0.08135,0.105718,0.060891,0.094759,-0.087651,0.081948,0.0,0.0,0.0,0.0,0.0,0.0
200764,0.091875,0.117434,0.047498,0.0,0.0,0.0,0.06205,0.061362,0.06205,3.0,0.275213,0.3115,0.32964,0.374976,0.082898,0.10427,0.062022,0.095119,-0.093829,0.083014,0.0,0.0,0.0,0.0,0.0,0.0
200784,0.095336,0.115556,0.048834,0.0,0.0,0.0,0.062787,0.060607,0.062787,3.0,0.240607,0.338169,0.315525,0.384911,0.084909,0.102251,0.063493,0.09005,-0.096229,0.079255,0.0,0.0,0.0,0.0,0.0,0.0
200804,0.098518,0.113699,0.049692,0.0,0.0,0.0,0.063741,0.059603,0.063741,3.0,0.269653,0.318652,0.331492,0.371303,0.086767,0.100234,0.06485,0.083156,-0.096298,0.073844,0.0,0.0,0.0,0.0,0.0,0.0
200824,0.101458,0.111982,0.05045,0.0,0.0,0.0,0.065142,0.058069,0.065142,3.0,0.291161,0.299387,0.339848,0.364307,0.088502,0.098195,0.066116,0.081511,-0.101744,0.073367,0.0,0.0,0.0,0.0,0.0,0.0
200844,0.104053,0.110377,0.051596,0.0,0.0,0.0,0.066742,0.056222,0.066742,3.0,0.327849,0.250109,0.359048,0.349709,0.09022,0.096027,0.067376,0.078099,-0.104843,0.071191,0.0,0.0,0.0,0.0,0.0,0.0
200864,0.106407,0.108635,0.053002,0.0,0.0,0.0,0.067616,0.055168,0.067616,3.0,0.253657,0.326431,0.317559,0.385975,0.091946,0.093701,0.068649,0.082084,-0.116711,0.076067,0.0,0.0,0.0,0.0,0.0,0.0
200884,0.108147,0.10679,0.054454,0.0,0.0,0.0,0.068912,0.053541,0.068912,3.0,0.307072,0.278215,0.342212,0.365384,0.093639,0.09127,0.069904,0.075668,-0.115711,0.071256,0.0,0.0,0.0,0.0,0.0,0.0
200904,0.109628,0.105228,0.05543,0.0,0.0,0.0,0.069602,0.052641,0.069602,3.0,0.27688,0.311601,0.325893,0.376929,0.095261,0.088779,0.071114,0.073907,-0.120371,0.070841,0.0,0.0,0.0,0.0,0.0,0.0
200924,0.110734,0.103551,0.056428,0.0,0.0,0.0,0.071082,0.050624,0.071082,3.0,0.308997,0.277559,0.34303,0.363547,0.096806,0.086245,0.072274,0.073252,-0.126557,0.071513,0.0,0.0,0.0,0.0,0.0,0.0
200944,0.111594,0.101882,0.05744,0.0,0.0,0.0,0.071817,0.049575,0.071817,3.0,0.275337,0.316101,0.31725,0.381379,0.098359,0.083551,0.07345,0.071613,-0.13125,0.07122,0.0,0.0,0.0,0.0,0.0,0.0
200976,0.112455,0.099191,0.05923,0.0,0.0,0.0,0.073918,0.046385,0.073918,3.0,0.312302,0.275296,0.337402,0.367551,0.100859,0.078802,0.075368,0.065815,-0.134994,0.068061,0.0,0.0,0.0,0.0,0.0,0.0
200986,0.112577,0.098306,0.059759,0.0,0.0,0.0,0.074366,0.045664,0.074366,3.0,0.301379,0.293262,0.327293,0.37227,0.101564,0.077373,0.075915,0.066375,-0.139466,0.069214,0.0,0.0,0.0,0.0,0.0,0.0
201004,0.112945,0.096654,0.060802,0.0,0.0,0.0,0.074833,0.044893,0.074833,3.0,0.284167,0.309575,0.318219,0.379833,0.102616,0.07517,0.076734,0.064849,-0.142422,0.068765,0.0,0.0,0.0,0.0,0.0,0.0
201024,0.113306,0.094629,0.061988,0.0,0.0,0.0,0.07578,0.043276,0.07578,3.0,0.314568,0.275531,0.333596,0.368931,0.103931,0.072245,0.077772,0.057335,-0.136875,0.063055,0.0,0.0,0.0,0.0,0.0,0.0
201044,0.113888,0.092732,0.062776,0.0,0.0,0.0,0.07578,0.043276,0.07578,3.0,0.255309,0.337742,0.307462,0.383382,0.105142,0.069345,0.078743,0.052637,-0.13567,0.059916,0.0,0.0,0.0,0.0,0.0,0.0
201064,0.114584,0.090728,0.063333,0.0,0.0,0.0,0.077256,0.040582,0.077256,3.0,0.317663,0.271706,0.343314,0.360143,0.106181,0.066604,0.079602,0.050912,-0.139869,0.059596,0.0,0.0,0.0,0.0,0.0,0.0
201084,0.115409,0.088833,0.064,0.0,0.0,0.0,0.078029,0.039076,0.078029,3.0,0.295549,0.300549,0.333402,0.365945,0.107252,0.063655,0.080489,0.050869,-0.146953,0.060679,0.0,0.0,0.0,0.0,0.0,0.0
201104,0.116363,0.086539,0.06517,0.0,0.0,0.0,0.078653,0.037805,0.078653,3.0,0.283748,0.304712,0.327604,0.376185,0.108285,0.060628,0.081357,0.046369,-0.145179,0.057696,0.0,0.0,0.0,0.0,0.0,0.0
201124,0.117423,0.084132,0.066098,0.0,0.0,0.0,0.079654,0.035646,0.079654,3.0,0.290313,0.295545,0.332021,0.374687,0.109237,0.057613,0.082177,0.045405,-0.150855,0.058062,0.0,0.0,0.0,0.0,0.0,0.0
201144,0.118347,0.081493,0.066927,0.0,0.0,0.0,0.080209,0.034379,0.080209,3.0,0.272925,0.318653,0.325505,0.37425,0.110178,0.054458,0.082996,0.043811,-0.155247,0.057807,0.0,0.0,0.0,0.0,0.0,0.0
201164,0.119501,0.078588,0.06787,0.0,0.0,0.0,0.081063,0.032315,0.081063,3.0,0.299577,0.280894,0.343475,0.368183,0.111041,0.051316,0.08377,0.037423,-0.148141,0.053092,0.0,0.0,0.0,0.0,0.0,0.0
201184,0.120526,0.075586,0.068598,0.0,0.0,0.0,0.081388,0.031488,0.081388,3.0,0.257914,0.329324,0.321433,0.378114,0.11183,0.04818,0.084502,0.036184,-0.153405,0.053142,0.0,0.0,0.0,0.0,0.0,0.0
201204,0.121544,0.07259,0.069206,0.0,0.0,0.0,0.082366,0.028831,0.082366,3.0,0.306642,0.27279,0.352084,0.360127,0.112544,0.045063,0.08519,0.032877,-0.153412,0.05123,0.0,0.0,0.0,0.0,0.0,0.0
201224,0.122674,0.069217,0.069956,0.0,0.0,0.0,0.082785,0.027607,0.082785,3.0,0.270045,0.321445,0.330965,0.369204,0.11324,0.041803,0.085869,0.032706,-0.162332,0.052216,0.0,0.0,0.0,0.0,0.0,0.0
201256,0.12412,0.06434,0.071134,0.0,0.0,0.0,0.083822,0.024275,0.083822,3.0,0.285489,0.300313,0.341051,0.36661,0.114277,0.036165,0.086955,0.025591,-0.157941,0.047612,0.0,0.0,0.0,0.0,0.0,0.0
201264,0.124317,0.062603,0.071593,0.0,0.0,0.0,0.083902,0.023999,0.083902,3.0,0.272781,0.31514,0.3316,0.37202,0.11441,0.035353,0.087102,0.02543,-0.160094,0.047728,0.0,0.0,0.0,0.0,0.0,0.0
201284,0.125071,0.059381,0.072117,0.0,0.0,0.0,0.083984,0.023709,0.083984,3.0,0.261672,0.33286,0.329588,0.365972,0.114915,0.032062,0.087671,0.020823,-0.154735,0.044492,0.0,0.0,0.0,0.0,0.0,0.0
201304,0.125569,0.056173,0.072518,0.0,0.0,0.0,0.084564,0.021549,0.084564,3.0,0.285114,0.310813,0.338911,0.360532,0.115298,0.028986,0.088173,0.017255,-0.152915,0.042201,0.0,0.0,0.0,0.0,0.0,0.0
201324,0.126194,0.052834,0.073058,0.0,0.0,0.0,0.084927,0.02007,0.084927,3.0,0.269066,0.330409,0.328474,0.364347,0.115632,0.025864,0.088644,0.01472,-0.154554,0.040711,0.0,0.0,0.0,0.0,0.0,0.0
201344,0.126706,0.049735,0.073711,0.0,0.0,0.0,0.085502,0.017461,0.085502,3.0,0.28285,0.305022,0.334802,0.370422,0.115905,0.022747,0.089078,0.012052,-0.155816,0.039128,0.0,0.0,0.0,0.0,0.0,0.0
201364,0.126853,0.046892,0.07435,0.0,0.0,0.0,0.085789,0.01599,0.085789,3.0,0.273021,0.321828,0.327571,0.36985,0.116141,0.019523,0.089484,0.01019,-0.161185,0.038318,0.0,0.0,0.0,0.0,0.0,0.0
