time_ms,roll,pitch,yaw,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted,value1,value2,value3,value4,value5,value6
199271,0.000366,-0.000367,0.00232,-0.0,0.0,-0.0,3.0,0.329901,0.3261,0.322238,0.3261,,,,,,,-0.001202,-0.001342,0.004517,0.038299,-0.042126,-9.9e-05
199291,0.000366,-0.000367,0.002442,-0.0,0.0,-0.0,3.0,0.328466,0.3261,0.323711,0.3261,,,,,,,-0.001079,-0.00136,0.004621,0.017145,-0.038345,0.003741
199311,0.000122,-0.000244,0.002442,-0.0,0.0,-0.0,3.0,0.329245,0.3261,0.322914,0.3261,,,,,,,-0.001098,-0.001464,0.004638,-0.020888,-3.5e-05,-1e-06
199331,0.000122,-0.000122,0.002564,-0.0,0.0,-0.0,3.0,0.328313,0.3261,0.323867,0.3261,,,,,,,-0.000973,-0.001483,0.004638,-0.042208,0.02496,0.020968
199351,0.000366,-0.000245,0.002564,-0.0,0.0,-0.0,3.0,0.328587,0.3261,0.323587,0.3261,,,,,,,-0.000973,-0.001503,0.00476,-0.000256,0.007865,-2.5e-05
199371,0.000366,-0.000245,0.002564,-0.0,0.0,-0.0,3.0,0.330272,0.3261,0.321854,0.3261,,,,,,,-0.000973,-0.001608,0.00476,0.000127,0.024925,-5e-06
199391,0.000366,-0.000367,0.002564,-0.0,0.0,-0.0,3.0,0.332177,0.3261,0.319866,0.3261,,,,,,,-0.001097,-0.001713,0.00476,0.021206,0.021094,1e-06
199411,0.000365,-0.000733,0.002564,-0.0,0.0,-0.0,3.0,0.335343,0.3261,0.316487,0.3261,,,,,,,-0.000993,-0.002026,0.004779,0.003832,0.009858,-0.003842
199431,0.000243,-0.000855,0.002564,-0.0,0.0,-0.0,3.0,0.33281,0.3261,0.319198,0.3261,,,,,,,-0.001099,-0.00204,0.00476,5.3e-05,-0.007649,1e-06
199451,0.000243,-0.001099,0.002564,-0.0,0.0,-0.0,3.0,0.330116,0.3261,0.322016,0.3261,,,,,,,-0.001184,-0.001953,0.00476,0.01327,-0.063095,1.3e-05
199471,0.000121,-0.001221,0.002564,-0.0,0.0,-0.0,3.0,0.3297,0.3261,0.322445,0.3261,,,,,,,-0.001183,-0.002215,0.00476,-0.007648,-0.038133,-2e-06
199491,0.000121,-0.001221,0.002564,-0.0,0.0,-0.0,3.0,0.328932,0.3261,0.323235,0.3261,,,,,,,-0.000973,-0.002337,0.00476,-0.042236,-0.017091,-2.3e-05
199511,0.00012,-0.001343,0.002442,-0.0,0.0,-0.0,3.0,0.332639,0.3261,0.319378,0.3261,,,,,,,-0.000992,-0.002689,0.004637,-0.038249,0.021266,8.1e-05
199531,0.000242,-0.001465,0.002442,-0.0,0.0,-0.0,3.0,0.331048,0.3261,0.321048,0.3261,,,,,,,-0.001097,-0.002829,0.004638,-2.9e-05,0.025102,-5.1e-05
199551,0.000242,-0.001954,0.00232,-0.0,0.0,-0.0,3.0,0.334566,0.3261,0.317325,0.3261,,,,,,,-0.001344,-0.003161,0.004533,0.04226,-0.003427,-0.003691
199571,0.00012,-0.002198,0.00232,-0.0,0.0,-0.0,3.0,0.334244,0.3261,0.317671,0.3261,,,,,,,-0.001344,-0.003403,0.004516,0.021235,-0.003697,2.2e-05
