time_ms,roll,pitch,yaw,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted,value1,value2,value3,value4,value5,value6
685088,0.005914,-0.025744,-0.74872,0.0,-0.0,-0.0,3.0,0.3261,0.330219,0.3261,0.32191,,,,,,,0.004692,-0.023692,-0.737723,-0.021138,2.3e-05,-0.000947
685108,0.005845,-0.025903,-0.748721,0.0,-0.0,-0.0,3.0,0.3261,0.330812,0.3261,0.321294,,,,,,,0.004737,-0.023692,-0.737742,-0.040687,7e-06,-0.000946
685128,0.0058,-0.025789,-0.748721,0.0,-0.0,-0.0,3.0,0.3261,0.330109,0.3261,0.322023,,,,,,,0.004647,-0.023692,-0.737761,-0.033714,1.8e-05,-0.000944
685148,0.006028,-0.0257,-0.748719,0.0,-0.0,-0.0,3.0,0.3261,0.332684,0.3261,0.319331,,,,,,,0.004732,-0.023691,-0.73778,-0.007924,2.7e-05,-0.000942
685168,0.006026,-0.025701,-0.748636,0.0,-0.0,-0.0,3.0,0.3261,0.33359,0.3261,0.318369,,,,,,,0.004865,-0.023691,-0.737799,-0.030082,2.7e-05,-0.000931
685188,0.006229,-0.025883,-0.748636,0.0,-0.0,-0.0,3.0,0.3261,0.332307,0.3261,0.319729,,,,,,,0.004767,-0.023691,-0.737817,0.020843,9e-06,-0.00093
685208,0.006231,-0.025882,-0.748719,0.0,-0.0,-0.0,3.0,0.3261,0.331753,0.3261,0.320312,,,,,,,0.004774,-0.02369,-0.737836,0.01966,9e-06,-0.000936
685228,0.006003,-0.025972,-0.748721,0.0,-0.0,-0.0,3.0,0.3261,0.331795,0.3261,0.320267,,,,,,,0.004767,-0.02369,-0.737855,-0.017974,-0.0,-0.000934
685248,0.006048,-0.026085,-0.748721,0.0,-0.0,-0.0,3.0,0.3261,0.330975,0.3261,0.321124,,,,,,,0.004615,-0.02369,-0.737873,0.015366,-1.2e-05,-0.000932
685268,0.005934,-0.02613,-0.748722,0.0,-0.0,-0.0,3.0,0.3261,0.330096,0.3261,0.322037,,,,,,,0.004518,-0.02369,-0.737892,0.011936,-1.6e-05,-0.000931
685288,0.005845,-0.025903,-0.748721,0.0,-0.0,-0.0,3.0,0.3261,0.331816,0.3261,0.320245,,,,,,,0.004572,-0.02369,-0.737911,-0.011838,7e-06,-0.000929
685308,0.0058,-0.025789,-0.748721,0.0,-0.0,-0.0,3.0,0.3261,0.331928,0.3261,0.320127,,,,,,,0.004568,-0.02369,-0.737929,-0.018878,1.8e-05,-0.000927
685328,0.006028,-0.0257,-0.748719,0.0,-0.0,-0.0,3.0,0.3261,0.331688,0.3261,0.320379,,,,,,,0.004579,-0.02369,-0.737948,0.017914,2.7e-05,-0.000925
685348,0.006028,-0.0257,-0.748719,0.0,-0.0,-0.0,3.0,0.3261,0.331224,0.3261,0.320864,,,,,,,0.004648,-0.023689,-0.737966,0.005307,2.7e-05,-0.000923
685368,0.005914,-0.025744,-0.74872,0.0,-0.0,-0.0,3.0,0.3261,0.332729,0.3261,0.319283,,,,,,,0.004777,-0.023689,-0.737985,-0.035174,2.2e-05,-0.000921
685388,0.005891,-0.026015,-0.748805,0.0,-0.0,-0.0,3.0,0.3261,0.33339,0.3261,0.318582,,,,,,,0.004722,-0.023689,-0.738003,-0.02859,-5e-06,-0.000928
685408,0.005937,-0.02613,-0.748927,0.0,-0.0,-0.0,3.0,0.3261,0.331733,0.3261,0.320332,,,,,,,0.004552,-0.023689,-0.738022,0.007131,-1.6e-05,-0.000938
685428,0.005778,-0.026061,-0.748928,0.0,-0.0,-0.0,3.0,0.3261,0.330643,0.3261,0.32147,,,,,,,0.004294,-0.023689,-0.73804,0.023649,-9e-06,-0.000936
685448,0.005733,-0.025946,-0.748805,0.0,-0.0,-0.0,3.0,0.3261,0.332034,0.3261,0.320016,,,,,,,0.004292,-0.023688,-0.738059,0.017075,2e-06,-0.000922
685468,0.005599,-0.025605,-0.748805,0.0,-0.0,-0.0,3.0,0.3261,0.330991,0.3261,0.321108,,,,,,,0.004198,-0.023688,-0.738077,0.010149,3.6e-05,-0.00092
685488,0.005599,-0.025605,-0.748805,0.0,-0.0,-0.0,3.0,0.3261,0.33177,0.3261,0.320294,,,,,,,0.004252,-0.023688,-0.738096,0.000676,3.6e-05,-0.000919
685508,0.005599,-0.025605,-0.748805,0.0,-0.0,-0.0,3.0,0.3261,0.329346,0.3261,0.32281,,,,,,,0.004186,-0.023687,-0.738114,0.01018,3.6e-05,-0.000917
685528,0.005441,-0.025537,-0.748805,0.0,-0.0,-0.0,3.0,0.3261,0.330552,0.3261,0.321564,,,,,,,0.004142,-0.023687,-0.738133,-0.008486,4.3e-05,-0.000915
685548,0.005419,-0.025809,-0.749012,0.0,-0.0,-0.0,3.0,0.3261,0.332556,0.3261,0.319466,,,,,,,0.004289,-0.023687,-0.738151,-0.036985,1.6e-05,-0.000934
685568,0.005463,-0.025922,-0.749012,0.0,-0.0,-0.0,3.0,0.3261,0.333027,0.3261,0.318968,,,,,,,0.004162,-0.023686,-0.738169,-0.006774,4e-06,-0.000932
685588,0.005304,-0.025854,-0.748929,0.0,-0.0,-0.0,3.0,0.3261,0.333143,0.3261,0.318845,,,,,,,0.004061,-0.023686,-0.738188,-0.016411,1.1e-05,-0.000922
685608,0.005304,-0.025854,-0.748929,0.0,-0.0,-0.0,3.0,0.3261,0.333333,0.3261,0.318643,,,,,,,0.003785,-0.023685,-0.738206,0.03197,1.1e-05,-0.00092
685628,0.005144,-0.025784,-0.748808,0.0,-0.0,-0.0,3.0,0.3261,0.331493,0.3261,0.320584,,,,,,,0.003572,-0.023685,-0.738224,0.04021,1.8e-05,-0.000906
685648,0.004714,-0.025691,-0.74881,0.0,-0.0,-0.0,3.0,0.3261,0.328108,0.3261,0.324076,,,,,,,0.00324,-0.023684,-0.738243,0.021192,2.7e-05,-0.000904
685668,0.004284,-0.025597,-0.748811,0.0,-0.0,-0.0,3.0,0.3261,0.328748,0.3261,0.323423,,,,,,,0.003112,-0.023684,-0.738261,-0.030197,3.7e-05,-0.000903
685688,0.004127,-0.02553,-0.748934,0.0,-0.0,-0.0,3.0,0.3261,0.330007,0.3261,0.322129,,,,,,,0.003001,-0.023683,-0.738279,-0.038009,4.3e-05,-0.000913
685708,0.003787,-0.025663,-0.749019,0.0,-0.0,-0.0,3.0,0.3261,0.328174,0.3261,0.324009,,,,,,,0.002704,-0.023683,-0.738298,-0.046841,3e-05,-0.00092
685728,0.003787,-0.025663,-0.749019,0.0,-0.0,-0.0,3.0,0.3261,0.331372,0.3261,0.320711,,,,,,,0.00257,-0.023682,-0.738316,-0.022486,3e-05,-0.000918
685748,0.003357,-0.02557,-0.74902,0.0,-0.0,-0.0,3.0,0.3261,0.33217,0.3261,0.319873,,,,,,,0.002401,-0.023682,-0.738334,-0.066042,3.9e-05,-0.000916
685768,0.003288,-0.025728,-0.749021,0.0,-0.0,-0.0,3.0,0.3261,0.333793,0.3261,0.318152,,,,,,,0.002127,-0.023681,-0.738353,-0.029082,2.3e-05,-0.000915
685788,0.003175,-0.025773,-0.749022,0.0,-0.0,-0.0,3.0,0.3261,0.331502,0.3261,0.320574,,,,,,,0.0017,-0.02368,-0.738371,0.0242,1.9e-05,-0.000913
685808,0.003085,-0.025545,-0.749021,0.0,-0.0,-0.0,3.0,0.3261,0.329724,0.3261,0.322421,,,,,,,0.001468,-0.023679,-0.738389,0.047092,4.1e-05,-0.000911
685828,0.002858,-0.025635,-0.749023,0.0,-0.0,-0.0,3.0,0.3261,0.328677,0.3261,0.323495,,,,,,,0.001371,-0.023679,-0.738407,0.023931,3.2e-05,-0.000909
685848,0.0027,-0.025566,-0.749023,0.0,-0.0,-0.0,3.0,0.3261,0.328927,0.3261,0.32324,,,,,,,0.001303,-0.023678,-0.738425,0.008411,3.9e-05,-0.000907
