time_ms,roll,pitch,yaw,x,y,z,reference_x,reference_y,reference_z,reference_yaw,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted,value1,value2,value3,value4,value5,value6
96972,0.001188,0.012969,-0.042747,-0.013254,0.016752,0.696861,0.0,0.0,0.7,-0.0,0.599085,0.524173,0.576254,0.50791,-0.000992,-0.001466,0.7,0.000568,0.000295,0.0,11.414213,0.012746,0.010505,0.0,0.0,0.0
96992,0.00126,0.015412,-0.042506,-0.013223,0.017328,0.696801,-3.5e-05,0.0,0.699965,-0.0,0.601188,0.513931,0.56574,0.527692,-0.000981,-0.00146,0.7,0.000577,0.000315,0.0,11.416519,0.013505,0.010971,0.0,0.0,0.0
97012,0.000373,0.017102,-0.042012,-0.013459,0.017939,0.696707,-0.001565,0.0,0.698435,-0.0,0.603165,0.515723,0.566418,0.523146,-0.000969,-0.001454,0.7,0.000586,0.000336,0.0,11.419555,0.013567,0.010434,0.0,0.0,0.0
97032,0.001124,0.016385,-0.041652,-0.013459,0.017939,0.696707,-0.003108,0.0,0.696892,-0.0,0.598064,0.528351,0.575423,0.506397,-0.000957,-0.001447,0.7,0.000594,0.000355,-1.8e-05,11.421295,0.013363,0.00978,0.0,0.0,0.0
97052,0.003329,0.016307,-0.04093,-0.013457,0.018366,0.696567,-0.004854,0.0,0.695146,-0.0,0.591015,0.516427,0.574606,0.522572,-0.000946,-0.001439,0.699995,0.000585,0.000375,-0.000826,11.362335,0.013408,0.003986,0.0,0.0,0.0
97072,0.004313,0.016204,-0.040328,-0.013307,0.01915,0.696306,-0.006761,0.0,0.693239,-0.0,0.59052,0.512226,0.573913,0.523413,-0.000935,-0.001432,0.699968,0.000336,0.000394,-0.002543,11.309568,0.010878,-0.001794,0.0,0.0,0.0
97092,0.006206,0.013431,-0.039479,-0.013194,0.019654,0.696071,-0.006761,0.0,0.693239,-0.0,0.583931,0.524158,0.57315,0.515901,-0.000933,-0.001424,0.699899,-0.000427,0.000412,-0.005112,11.26319,0.010713,-0.007384,0.0,0.0,0.0
97112,0.00886,0.009083,-0.0385,-0.013194,0.019654,0.696071,-0.006761,0.0,0.693239,-0.0,0.578167,0.531279,0.573619,0.511096,-0.000952,-0.001415,0.699773,-0.001897,0.00043,-0.008484,11.223119,0.012164,-0.013286,0.0,0.0,0.0
97132,0.011006,0.005579,-0.037513,-0.012367,0.020642,0.695738,-0.009808,0.0,0.690192,-0.0,0.580949,0.542228,0.578036,0.4949,-0.001005,-0.001407,0.699579,-0.004208,0.000447,-0.011544,11.268006,0.012191,-0.009772,0.0,0.0,0.0
97152,0.010967,0.001176,-0.036384,-0.012169,0.021165,0.695414,-0.011667,0.0,0.688333,-0.0,0.585036,0.546325,0.566856,0.501038,-0.001111,-0.001398,0.699329,-0.007155,0.000465,-0.013994,11.294101,0.010106,-0.006477,0.0,0.0,0.0
97172,0.011062,-0.004201,-0.035135,-0.01205,0.021564,0.695059,-0.013745,0.0,0.686255,-0.0,0.589658,0.530786,0.557515,0.514454,-0.001278,-0.001388,0.699026,-0.010394,0.000481,-0.017478,11.20254,0.012709,-0.020492,0.0,0.0,0.0
97192,0.01236,-0.008823,-0.034127,-0.011833,0.02194,0.694659,-0.015425,0.0,0.684575,-0.0,0.586135,0.540162,0.567513,0.494852,-0.001513,-0.001378,0.698645,-0.014098,0.000498,-0.021692,11.176508,0.012883,-0.024139,0.0,0.0,0.0
