time_ms,roll,pitch,yaw,x,y,z,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted,value1,value2,value3,value4,value5,value6
133044,0.000123,0.000977,0.001099,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.310426,0.334038,0.305181,0.349795,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
133064,1e-06,0.000977,0.001221,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.307482,0.338493,0.300468,0.351922,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
133084,1e-06,0.000855,0.001343,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.308725,0.337788,0.302545,0.349861,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
133104,0.000123,0.000854,0.001343,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.307665,0.337112,0.301506,0.352238,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
133124,1e-06,0.000977,0.001465,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.315534,0.331207,0.306558,0.346883,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
133144,1e-06,0.000977,0.001343,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.317176,0.329718,0.307494,0.346034,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
133164,1e-06,0.000977,0.001465,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.30674,0.340022,0.296995,0.353855,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
133184,0.000123,0.000977,0.001587,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.310664,0.336078,0.299324,0.352455,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
133204,0.000123,0.000732,0.001587,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.308197,0.339198,0.299939,0.351081,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
133224,1e-06,0.000732,0.001587,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.310972,0.338229,0.298821,0.350563,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
