time_ms,roll,pitch,yaw,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted,value1,value2,value3,value4,value5,value6
475669,-0.003536,-0.009157,-0.000871,-0.0,-0.0,0.0,3.0,0.328027,0.324158,0.328027,0.324158,,,,,,,-0.005001,-0.010343,-0.002194,0.021008,0.013547,-0.003745
475689,-0.003658,-0.00928,-0.000994,-0.0,-0.0,0.0,3.0,0.325692,0.326508,0.325692,0.326508,,,,,,,-0.005125,-0.010237,-0.002194,0.021341,-0.02502,-0.024767
475709,-0.003658,-0.00928,-0.000994,-0.0,-0.0,0.0,3.0,0.320373,0.331694,0.320373,0.331694,,,,,,,-0.005106,-0.010112,-0.002211,0.017287,-0.046158,-0.021069
475729,-0.003658,-0.00928,-0.000994,-0.0,-0.0,0.0,3.0,0.317947,0.333986,0.317947,0.333986,,,,,,,-0.004964,-0.010093,-0.002229,-0.007653,-0.049929,-0.017344
475749,-0.00378,-0.009157,-0.000872,-0.0,-0.0,0.0,3.0,0.319435,0.332585,0.319435,0.332585,,,,,,,-0.004963,-0.010006,-0.002352,-0.028748,-0.042194,0.024682
475769,-0.00378,-0.009035,-0.000872,-0.0,-0.0,0.0,3.0,0.321768,0.330356,0.321768,0.330356,,,,,,,-0.004771,-0.010025,-0.002352,-0.059534,-0.017187,0.024654
475789,-0.003414,-0.009157,-0.000992,-0.0,-0.0,0.0,3.0,0.330421,0.3217,0.330421,0.3217,,,,,,,-0.004789,-0.010168,-0.002439,0.007308,-0.013087,0.017389
475809,-0.003292,-0.009157,-0.000992,-0.0,-0.0,0.0,3.0,0.329213,0.322947,0.329213,0.322947,,,,,,,-0.004773,-0.010432,-0.002438,0.024815,0.032816,0.017389
475829,-0.003413,-0.009158,-0.001114,-0.0,-0.0,0.0,3.0,0.329641,0.322506,0.329641,0.322506,,,,,,,-0.005002,-0.010519,-0.00244,0.042386,0.046047,-0.003479
475849,-0.003535,-0.009402,-0.001115,-0.0,-0.0,0.0,3.0,0.322499,0.329648,0.322499,0.329648,,,,,,,-0.004916,-0.010729,-0.002334,0.007823,0.038508,-0.021029
475869,-0.003657,-0.009646,-0.001116,-0.0,-0.0,0.0,3.0,0.320936,0.331156,0.320936,0.331156,,,,,,,-0.005126,-0.010832,-0.002335,0.021192,0.013492,-0.020934
475889,-0.003779,-0.009768,-0.001117,-0.0,-0.0,0.0,3.0,0.320908,0.331183,0.320908,0.331183,,,,,,,-0.005191,-0.010725,-0.002335,0.009709,-0.025019,-0.021061
475909,-0.003902,-0.00989,-0.000996,-0.0,-0.0,0.0,3.0,0.320538,0.331536,0.320538,0.331536,,,,,,,-0.005066,-0.010705,-0.002334,-0.032545,-0.049826,-0.000337
475929,-0.004024,-0.010012,-0.000997,-0.0,-0.0,0.0,3.0,0.319592,0.332437,0.319592,0.332437,,,,,,,-0.004997,-0.010722,-0.002353,-0.063146,-0.067001,0.003451
475949,-0.003779,-0.00989,-0.000995,-0.0,-0.0,0.0,3.0,0.319399,0.332619,0.319399,0.332619,,,,,,,-0.004891,-0.010757,-0.002353,-0.038517,-0.038371,0.003632
475969,-0.003536,-0.00989,-0.000872,-0.0,-0.0,0.0,3.0,0.319051,0.332949,0.319051,0.332949,,,,,,,-0.004911,-0.0109,-0.002353,0.007492,-0.013206,0.02488
475989,-0.003413,-0.009646,-0.000993,-0.0,-0.0,0.0,3.0,0.322746,0.329408,0.322746,0.329408,,,,,,,-0.004914,-0.010918,-0.002355,0.028717,0.032576,0.004174
476009,-0.003291,-0.009646,-0.000993,-0.0,-0.0,0.0,3.0,0.326084,0.326116,0.326084,0.326116,,,,,,,-0.00502,-0.011025,-0.002336,0.067026,0.050001,0.000369
476029,-0.003413,-0.009768,-0.000993,-0.0,-0.0,0.0,3.0,0.32651,0.32569,0.32651,0.32569,,,,,,,-0.004964,-0.011178,-0.002317,-0.02881,0.009502,-0.003968
