time_ms,roll,pitch,yaw,x,y,z,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted,value1,value2,value3,value4,value5,value6
35564,-0.006696,-0.013681,-0.002732,0.0,0.0,0.0,-0.0,-0.0,-0.0,3.0,0.345658,0.319227,0.327489,0.308225,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35584,-0.006697,-0.013437,-0.002609,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.343473,0.319486,0.327208,0.310784,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35604,-0.006819,-0.013437,-0.00261,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.34234,0.321873,0.326225,0.310641,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35624,-0.006696,-0.013315,-0.002731,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.343704,0.319791,0.32877,0.30851,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35644,-0.006574,-0.013437,-0.00273,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.345055,0.320728,0.327616,0.307208,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35664,-0.006697,-0.013559,-0.002609,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.344449,0.322669,0.324742,0.308962,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35684,-0.006575,-0.013315,-0.002608,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.342571,0.320837,0.327063,0.310564,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35704,-0.006575,-0.013315,-0.002608,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.346596,0.320478,0.325236,0.308246,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35724,-0.006574,-0.013193,-0.002729,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.343995,0.319837,0.327433,0.309576,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35744,-0.006574,-0.013071,-0.002729,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.345432,0.320069,0.325253,0.310014,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35764,-0.006574,-0.013193,-0.002729,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.343919,0.321436,0.326833,0.308632,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35784,-0.006452,-0.013071,-0.002728,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.344788,0.320752,0.324559,0.310783,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35804,-0.006329,-0.013071,-0.00285,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.345819,0.319402,0.326481,0.308944,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35824,-0.00645,-0.013194,-0.002973,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.345728,0.319709,0.328465,0.306568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35844,-0.006451,-0.013071,-0.002972,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.347047,0.317274,0.328538,0.307495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35864,-0.006573,-0.013072,-0.002973,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.345005,0.319104,0.32671,0.309954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35884,-0.006329,-0.012827,-0.002971,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.343521,0.319318,0.32802,0.310031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35904,-0.006329,-0.012827,-0.002971,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.345048,0.320907,0.325113,0.309731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35924,-0.00645,-0.012828,-0.003094,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.346428,0.318278,0.326646,0.309229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35944,-0.006205,-0.012828,-0.003214,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.344716,0.320423,0.327358,0.308206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35964,-0.006206,-0.012949,-0.003093,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.34441,0.32139,0.326885,0.308054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35984,-0.00584,-0.012827,-0.00309,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.342627,0.322362,0.325287,0.310799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
