timestamp_iso,roll_deg,pitch_deg,yaw_deg
0.006,30.264,1.451,-3.534
0.008,30.293,1.458,-3.536
0.010,30.340,1.392,-3.493
0.013,30.322,1.466,-3.538
0.015,30.354,1.421,-3.507
0.019,30.387,1.476,-3.546
0.024,30.390,1.408,-3.503
0.029,30.351,1.447,-3.532
0.034,30.302,1.399,-3.501
0.039,30.337,1.455,-3.541
0.044,30.366,1.447,-3.532
0.049,30.418,1.422,-3.525
0.054,30.354,1.384,-3.509
0.059,30.281,1.428,-3.541
0.064,30.266,1.414,-3.537
0.069,30.325,1.411,-3.542
0.074,30.333,1.389,-3.530
0.079,30.288,1.396,-3.538
0.084,30.304,1.383,-3.535
0.089,30.347,1.379,-3.539
0.094,30.374,1.409,-3.553
0.099,30.340,1.386,-3.541
0.104,30.318,1.372,-3.537
0.109,30.326,1.379,-3.540
0.114,30.360,1.419,-3.569
0.119,30.399,1.345,-3.523
0.124,30.369,1.362,-3.540
0.129,30.262,1.335,-3.522
0.134,30.260,1.389,-3.561
0.139,30.269,1.316,-3.523
0.144,30.298,1.319,-3.529
0.149,30.199,1.303,-3.527
0.154,30.186,1.238,-3.497
0.159,30.191,1.277,-3.526
0.164,30.185,1.269,-3.517
0.169,30.220,1.265,-3.522
0.174,30.187,1.221,-3.505
0.179,30.178,1.272,-3.531
0.184,30.185,1.259,-3.527
0.189,30.273,1.232,-3.513
0.194,30.251,1.218,-3.509
0.199,30.200,1.266,-3.529
0.204,30.199,1.295,-3.543
0.209,30.241,1.298,-3.549
0.214,30.273,1.275,-3.531
0.219,30.257,1.290,-3.541
0.224,30.185,1.257,-3.520
0.229,30.206,1.281,-3.539
0.234,30.148,1.291,-3.537
0.239,30.222,1.265,-3.523
0.244,30.198,1.269,-3.517
0.249,30.190,1.291,-3.529
0.254,30.190,1.311,-3.535
0.259,30.251,1.231,-3.487
0.264,30.220,1.270,-3.517
0.269,30.171,1.227,-3.481
0.274,30.226,1.348,-3.551
0.279,30.271,1.274,-3.505
0.284,30.341,1.342,-3.542
0.289,30.308,1.282,-3.507
0.294,30.307,1.313,-3.528
0.299,30.285,1.312,-3.528
0.304,30.254,1.349,-3.551
0.309,30.270,1.307,-3.533
0.314,30.241,1.308,-3.540
0.319,30.233,1.329,-3.552
0.324,30.268,1.341,-3.567
0.329,30.264,1.281,-3.532
0.334,30.251,1.262,-3.534
0.339,30.149,1.268,-3.543
0.344,30.184,1.271,-3.549
0.349,30.192,1.278,-3.552
0.354,30.252,1.231,-3.532
0.359,30.242,1.254,-3.550
0.364,30.237,1.218,-3.534
0.369,30.228,1.264,-3.566
0.374,30.209,1.211,-3.533
0.379,30.251,1.246,-3.567
0.384,30.226,1.171,-3.522
0.389,30.243,1.270,-3.586
0.394,30.231,1.197,-3.548
0.399,30.243,1.221,-3.566
0.404,30.204,1.147,-3.528
0.409,30.136,1.184,-3.558
0.414,30.138,1.193,-3.567
0.419,30.138,1.172,-3.561
0.424,30.188,1.152,-3.548
0.429,30.181,1.160,-3.557
0.434,30.174,1.168,-3.566
0.439,30.187,1.177,-3.574
0.444,30.167,1.170,-3.573
0.449,30.219,1.143,-3.559
0.454,30.232,1.159,-3.569
0.459,30.274,1.213,-3.601
0.464,30.286,1.244,-3.622
0.469,30.295,1.200,-3.597
0.474,30.317,1.195,-3.602
0.479,30.253,1.185,-3.594
0.484,30.294,1.263,-3.646
0.489,30.280,1.225,-3.623
0.494,30.352,1.238,-3.638
0.499,30.318,1.213,-3.620
0.504,30.288,1.238,-3.646
0.509,30.267,1.208,-3.632
0.514,30.230,1.209,-3.638
0.519,30.246,1.187,-3.626
0.524,30.247,1.150,-3.604
0.529,30.279,1.241,-3.659
0.534,30.274,1.210,-3.638
0.539,30.273,1.219,-3.647
0.544,30.241,1.151,-3.611
0.549,30.202,1.188,-3.633
0.554,30.216,1.208,-3.639
0.559,30.229,1.215,-3.640
0.564,30.281,1.202,-3.629
0.569,30.274,1.215,-3.633
0.574,30.230,1.212,-3.627
0.579,30.208,1.242,-3.648
0.584,30.127,1.220,-3.624
0.589,30.179,1.208,-3.620
0.594,30.138,1.173,-3.587
0.599,30.207,1.234,-3.620
0.604,30.199,1.259,-3.621
0.609,30.229,1.230,-3.600
0.614,30.231,1.197,-3.573
0.619,30.173,1.194,-3.566
0.624,30.215,1.258,-3.590
0.629,30.252,1.219,-3.560
0.634,30.322,1.264,-3.577
0.639,30.324,1.214,-3.532
