time_ms,roll,pitch,yaw,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted,value1,value2,value3,value4,value5,value6
279017,-0.000556,-0.019298,-0.272769,0.0,-0.0,-0.0,2.0,0.282024,0.281624,0.282024,0.282423,,,,,,,0.000175,-0.01357,-0.174659,0.0,-5e-05,2e-06
279037,-0.000435,-0.019282,-0.272768,1e-06,-0.0,-0.0,2.0,0.282024,0.279877,0.282024,0.284148,,,,,,,0.000175,-0.013571,-0.174659,0.023988,-4.8e-05,2e-06
279057,-0.000435,-0.019282,-0.272768,9.6e-05,-0.0,-0.0,2.0,0.282024,0.281793,0.282024,0.282255,,,,,,,0.000296,-0.013572,-0.174659,-0.0,-4.8e-05,2e-06
279077,-0.000418,-0.019402,-0.272768,0.000188,-0.0,-0.0,2.0,0.282024,0.281496,0.282024,0.282551,,,,,,,0.000296,-0.013573,-0.174659,0.003305,-6e-05,2e-06
279097,-0.000539,-0.019419,-0.272769,0.000247,-0.0,-0.0,2.0,0.282024,0.277913,0.282024,0.286051,,,,,,,7.1e-05,-0.013574,-0.174659,0.023989,-6.2e-05,2e-06
279117,-0.00066,-0.019436,-0.27277,0.000325,-0.0,-0.0,2.0,0.282024,0.279096,0.282024,0.284909,,,,,,,7.2e-05,-0.013576,-0.174659,-0.000334,-6.3e-05,2e-06
279137,-0.000659,-0.019437,-0.272936,0.000425,-0.0,-0.0,2.0,0.282024,0.278707,0.282024,0.285287,,,,,,,-5e-05,-0.013577,-0.174659,0.024248,-6.3e-05,-1.5e-05
279157,-0.00066,-0.019436,-0.27277,0.00052,-0.0,-0.0,2.0,0.282024,0.280193,0.282024,0.283838,,,,,,,-5.1e-05,-0.013578,-0.174659,0.024088,-6.3e-05,2e-06
279177,-0.00066,-0.019436,-0.27277,0.000568,-0.0,-0.0,2.0,0.282024,0.281124,0.282024,0.28292,,,,,,,5.4e-05,-0.013579,-0.174659,0.00329,-6.3e-05,2e-06
279197,-0.000659,-0.019437,-0.272936,0.0007,-0.0,-0.0,2.0,0.282024,0.28119,0.282024,0.282854,,,,,,,7e-05,-0.013581,-0.174659,0.000259,-6.3e-05,-1.5e-05
279217,-0.00066,-0.019436,-0.27277,0.000794,-0.0,-0.0,2.0,0.282024,0.281096,0.282024,0.282948,,,,,,,7e-05,-0.013582,-0.174659,0.0,-6.3e-05,2e-06
279237,-0.000764,-0.019573,-0.272771,0.000887,-0.0,-0.0,2.0,0.282024,0.278589,0.282024,0.2854,,,,,,,-5e-05,-0.013583,-0.174659,0.003205,-7.6e-05,2e-06
279257,-0.00078,-0.019453,-0.272937,0.000979,-0.0,-0.0,2.0,0.282024,0.280919,0.282024,0.283123,,,,,,,-3.3e-05,-0.013585,-0.174659,-0.003283,-6.4e-05,-1.5e-05
279277,-0.000885,-0.01959,-0.272772,0.001045,-0.0,-0.0,2.0,0.282024,0.28026,0.282024,0.283773,,,,,,,-0.000155,-0.013586,-0.174659,0.0,-7.7e-05,2e-06
279297,-0.001006,-0.019606,-0.272773,0.001111,-0.0,-0.0,2.0,0.282024,0.27827,0.282024,0.285707,,,,,,,-0.000275,-0.013588,-0.17466,-0.0001,-7.9e-05,2e-06
279317,-0.000901,-0.019469,-0.272888,0.00122,-0.0,-0.0,2.0,0.282024,0.282847,0.282024,0.281198,,,,,,,-0.000171,-0.013589,-0.17466,7.9e-05,-6.5e-05,-1e-05
279337,-0.001023,-0.019485,-0.272773,0.001286,-0.0,-0.0,2.0,0.282024,0.280111,0.282024,0.283919,,,,,,,-0.000293,-0.01359,-0.17466,0.0,-6.7e-05,2e-06
279357,-0.001144,-0.019502,-0.272774,0.001371,-0.0,-0.0,2.0,0.282024,0.280425,0.282024,0.283611,,,,,,,-0.000293,-0.013592,-0.17466,-0.024088,-6.8e-05,2e-06
279377,-0.001144,-0.019502,-0.272774,0.001434,-0.0,-0.0,2.0,0.282024,0.280399,0.282024,0.283636,,,,,,,-0.000308,-0.013593,-0.17466,-0.021049,-6.8e-05,2e-06
