time_ms,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted
166118,0.000639,0.011887,-0.098092,-0.0,-0.001064,-1e-06,0.0,-0.0,-0.0,2.0,0.282024,0.270708,0.282024,0.292722,,,,,,
166138,0.000638,0.011887,-0.098214,-0.001077,1e-06,-0.001064,6.5e-05,-0.0,-0.0,2.0,0.282024,0.270708,0.282024,0.292722,,,,,,
166158,0.000637,0.011887,-0.098335,-0.001064,0.0,0.0,0.005023,-0.0,-0.0,2.0,0.282024,0.270253,0.282024,0.293127,,,,,,
166178,0.000637,0.011887,-0.098335,-0.0,-0.001064,-1e-06,0.005023,-0.0,-0.0,2.0,0.282024,0.270207,0.282024,0.293169,,,,,,
166198,0.000516,0.011881,-0.098213,-1.3e-05,-0.001064,-0.001065,0.011238,-0.0,-0.0,2.0,0.282024,0.266353,0.282024,0.296532,,,,,,
166218,0.000643,0.011765,-0.098335,-0.001077,1e-06,-0.001064,0.014139,-0.0,-0.0,2.0,0.282024,0.265195,0.282024,0.297519,,,,,,
166238,0.000765,0.011771,-0.098457,0.0,0.0,0.0,0.017145,-0.0,-0.0,2.0,0.282024,0.265369,0.282024,0.297372,,,,,,
166258,0.000765,0.011771,-0.098457,-0.0,-0.001064,-1e-06,0.019176,-0.0,-0.0,2.0,0.282024,0.264412,0.282024,0.29818,,,,,,
166278,0.001008,0.011783,-0.09858,-1.3e-05,-0.001063,-0.001065,0.024608,-0.0,-0.0,2.0,0.282024,0.262183,0.282024,0.300034,,,,,,
166298,0.001367,0.011923,-0.098703,0.0,0.0,0.0,0.028473,-0.0,-0.0,2.0,0.282024,0.260567,0.282024,0.301355,,,,,,
166318,0.001854,0.011948,-0.098827,0.001064,0.0,0.0,0.032007,-0.0,-0.0,2.0,0.282024,0.260531,0.282024,0.301384,,,,,,
166338,0.002463,0.011978,-0.098831,0.001064,-0.001064,-3e-06,0.035398,-0.0,-0.0,2.0,0.282024,0.259078,0.282024,0.302554,,,,,,
166358,0.003322,0.011898,-0.098957,0.002116,-0.001061,-0.001068,0.037265,-0.0,-0.0,2.0,0.282024,0.258306,0.282024,0.303169,,,,,,
166378,0.004424,0.011831,-0.099205,0.002128,0.0,0.0,0.04117,-0.0,-0.0,2.0,0.282024,0.258306,0.282024,0.303168,,,,,,
166398,0.005892,0.011782,-0.099334,0.003193,0.0,0.0,0.043163,-0.0,-0.0,2.0,0.282024,0.259162,0.282024,0.302486,,,,,,
166418,0.007605,0.011745,-0.099463,0.004257,0.0,0.0,0.047552,-0.0,-0.0,2.0,0.282024,0.259155,0.282024,0.302492,,,,,,
166438,0.009561,0.011721,-0.099593,0.005321,-0.001064,-1e-05,0.049665,-0.0,-0.0,2.0,0.282024,0.258622,0.282024,0.302917,,,,,,
166458,0.01212,0.01185,-0.099865,0.005321,-0.001064,-1.3e-05,0.053267,-0.0,-0.0,2.0,0.282024,0.257766,0.282024,0.303596,,,,,,
166478,0.015057,0.011754,-0.100118,0.005321,0.0,0.0,0.054721,-0.0,-0.0,2.0,0.282024,0.260835,0.282024,0.301137,,,,,,
166498,0.018475,0.011805,-0.100372,0.007462,-2e-05,0.001064,0.057669,-0.0,-0.0,2.0,0.282024,0.26201,0.282024,0.300177,,,,,,
166518,0.022266,0.011751,-0.100504,0.009565,-0.00104,-0.001088,0.061089,-0.0,-0.0,2.0,0.282024,0.263177,0.282024,0.299212,,,,,,
166538,0.026916,0.011623,-0.100894,0.009565,-0.001035,-0.001093,0.061089,-0.0,-0.0,2.0,0.282024,0.265962,0.282024,0.296867,,,,,,
166558,0.032169,0.01165,-0.101283,0.011719,-3.4e-05,0.001064,0.065822,-0.0,-0.0,2.0,0.282024,0.267207,0.282024,0.295798,,,,,,
