time_ms,roll,pitch,yaw,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted,value1,value2,value3,value4,value5,value6
119006,0.004428,-0.000311,-0.959273,0.0,-0.0,-0.0,3.0,0.336475,0.318095,0.315257,0.333847,0.0,0.0,-0.002283,-0.0,-0.0,-0.000122,-0.003841,-0.000142,-0.816721,-1.7e-05,5.9e-05,-0.008462
119026,0.004324,-0.00064,-0.959481,0.0,-0.0,-0.0,3.0,0.339953,0.318126,0.311398,0.333818,0.0,0.0,-0.002285,-0.0,-0.0,-0.000122,-0.003876,-0.00014,-0.81689,-0.001716,3.7e-05,-0.008446
119046,0.004437,-0.000857,-0.959688,0.000952,-0.0,-0.0,3.0,0.342205,0.317747,0.308835,0.334173,3e-06,0.0,-0.002288,0.001097,-0.0,-0.000122,-0.003922,-0.000139,-0.817059,0.000444,1.5e-05,-0.008435
119066,0.004658,-0.001016,-0.959811,0.002805,-0.0,-0.0,3.0,0.341393,0.31681,0.309765,0.335044,4.2e-05,0.0,-0.00229,0.004397,-0.0,-0.000122,-0.003948,-0.000138,-0.817228,2.7e-05,2.6e-05,-0.008439
119086,0.004606,-0.001181,-0.960019,0.004861,-0.0,-0.0,3.0,0.341444,0.316072,0.309707,0.335726,0.000158,0.0,-0.002293,0.008909,-0.0,-0.000122,-0.003939,-0.000137,-0.817396,-9.2e-05,2.6e-05,-0.008428
119106,0.004606,-0.00118,-0.960081,0.005974,-0.0,-0.0,3.0,0.339172,0.315599,0.312275,0.336161,0.000363,0.0,-0.002295,0.012209,-0.0,-0.000122,-0.003922,-0.000136,-0.817565,0.001154,3.1e-05,-0.008432
119126,0.00455,-0.001072,-0.960288,0.008196,-0.0,-0.0,3.0,0.338627,0.31472,0.312883,0.336966,0.000622,0.0,-0.002297,0.015282,-0.0,-0.000122,-0.003881,-0.000135,-0.817734,-0.000937,5.3e-05,-0.008436
119146,0.004385,-0.00102,-0.960351,0.009126,-0.0,-0.0,3.0,0.337171,0.314219,0.314494,0.337421,0.000951,0.0,-0.0023,0.018179,-0.0,-0.000122,-0.003863,-0.000134,-0.817902,-0.001961,6.4e-05,-0.008425
119166,0.004493,-0.000963,-0.960557,0.010999,-0.0,-0.0,3.0,0.33486,0.313319,0.317008,0.338235,0.001326,0.0,-0.002302,0.0206,-0.0,-0.000122,-0.003855,-0.000133,-0.818071,0.000118,8.6e-05,-0.008429
119186,0.00471,-0.000849,-0.960826,0.013535,-0.0,-0.0,3.0,0.332809,0.31221,0.319199,0.33923,0.00176,-0.0,-0.002305,0.02478,-0.0,-0.000122,-0.003826,-0.000132,-0.81824,0.001913,0.000108,-0.008439
119206,0.004654,-0.000741,-0.961095,0.015381,-0.0,-0.0,3.0,0.33235,0.31122,0.319683,0.340111,0.002286,-0.0,-0.002307,0.029018,-0.0,-0.000122,-0.003789,-0.00013,-0.818409,0.003663,0.000103,-0.008449
119226,0.004979,-0.000571,-0.961301,0.016287,-0.0,-0.0,3.0,0.333255,0.31108,0.318726,0.340235,0.002883,-0.0,-0.00231,0.030998,-0.0,-0.000122,-0.00373,-0.000129,-0.818578,0.006649,7.6e-05,-0.008459
119246,0.005195,-0.000457,-0.961424,0.018081,-0.0,-0.0,3.0,0.334135,0.310587,0.317787,0.34067,0.003509,-0.0,-0.002312,0.032614,-1e-06,-0.000122,-0.003619,-0.000128,-0.818747,0.007378,7e-05,-0.008469
119266,0.005416,-0.000617,-0.96163,0.020012,-0.0,-0.0,3.0,0.336713,0.309707,0.314997,0.341444,0.004178,-0.0,-0.002315,0.035641,-1e-06,-0.000122,-0.003498,-0.000127,-0.818916,0.00727,4.9e-05,-0.008458
119286,0.005581,-0.000668,-0.961836,0.021392,-0.0,-0.0,3.0,0.337054,0.308879,0.314622,0.342166,0.00491,-0.0,-0.002317,0.038291,-1e-06,-0.000122,-0.003385,-0.000126,-0.819085,0.009452,4.9e-05,-0.008462
119306,0.005962,-0.000607,-0.961896,0.023517,-0.0,-0.0,3.0,0.338084,0.307767,0.313486,0.34313,0.005688,-0.0,-0.00232,0.040847,-1e-06,-0.000122,-0.003254,-0.000124,-0.819254,0.009142,5.5e-05,-0.008451
119326,0.006343,-0.000545,-0.962101,0.025234,-0.0,-0.0,3.0,0.338774,0.307256,0.31272,0.34357,0.006523,-0.0,-0.002322,0.043734,-1e-06,-0.000122,-0.003091,-0.000123,-0.819423,0.01064,5.5e-05,-0.008455
119346,0.006673,-0.000648,-0.962162,0.026208,-0.0,-0.0,3.0,0.338247,0.30725,0.313306,0.343575,0.00741,-0.0,-0.002324,0.045239,-1e-06,-0.000122,-0.002877,-0.000122,-0.819592,0.012917,6.1e-05,-0.008444
119366,0.00711,-0.000694,-0.962428,0.028791,-0.0,-0.0,3.0,0.339609,0.306651,0.311785,0.344089,0.008321,-0.0,-0.002327,0.047517,-1e-06,-0.000122,-0.002596,-0.00012,-0.819761,0.013584,5.1e-05,-0.008447
119386,0.007661,-0.000957,-0.962632,0.030524,-0.0,-0.0,3.0,0.341748,0.306581,0.309359,0.344148,0.009294,-0.0,-0.002329,0.050855,-1e-06,-0.000122,-0.002263,-0.000119,-0.81993,0.015085,1.9e-05,-0.008451
119406,0.008372,-0.000998,-0.962834,0.03139,-0.0,-0.0,3.0,0.340336,0.307284,0.310966,0.343546,0.010323,-0.0,-0.002332,0.0521,-1e-06,-0.000122,-0.001865,-0.000118,-0.820099,0.022296,2.6e-05,-0.008446
119426,0.009356,-0.001034,-0.963096,0.033094,-0.0,-0.0,3.0,0.339414,0.307692,0.312004,0.343195,0.011365,-0.0,-0.002334,0.052918,-2e-06,-0.000122,-0.001353,-0.000117,-0.820268,0.027191,4.4e-05,-0.008455
119446,0.01039,-0.000905,-0.96321,0.035169,-0.0,-0.0,3.0,0.338862,0.307969,0.312621,0.342955,0.012434,-0.0,-0.002337,0.055341,-2e-06,-0.000122,-0.000738,-0.000116,-0.820437,0.033702,4.6e-05,-0.008458
119466,0.011534,-0.000719,-0.963468,0.03623,-0.0,-0.0,3.0,0.337314,0.308949,0.314337,0.342106,0.013556,-0.0,-0.002339,0.057166,-2e-06,-0.000122,1e-06,-0.000115,-0.820606,0.040699,7e-05,-0.008467
119486,0.012956,-0.000801,-0.963867,0.038036,-0.0,-0.0,3.0,0.338223,0.309853,0.313333,0.341316,0.014702,-0.0,-0.002342,0.058341,-2e-06,-0.000122,0.000872,-0.000113,-0.820776,0.047442,7.2e-05,-0.008475
119506,0.014598,-0.001042,-0.964117,0.039488,-0.0,-0.0,3.0,0.339094,0.310792,0.312363,0.340489,0.015878,-0.0,-0.002344,0.059932,-2e-06,-0.000122,0.001862,-0.000112,-0.820946,0.054105,5.3e-05,-0.008483
119526,0.016293,-0.001119,-0.964302,0.041225,-0.0,-0.0,3.0,0.338548,0.311806,0.312971,0.33959,0.017084,-0.0,-0.002346,0.061518,-2e-06,-0.000122,0.002988,-0.000111,-0.821115,0.06333,5.1e-05,-0.008491
119546,0.018208,-0.001354,-0.964543,0.042653,-0.0,-0.0,3.0,0.338903,0.313069,0.312575,0.33846,0.018323,-0.0,-0.002349,0.06297,-3e-06,-0.000122,0.004264,-0.00011,-0.821285,0.071301,3.8e-05,-0.008513
119566,0.020227,-0.001259,-0.964778,0.044401,-0.0,-0.0,3.0,0.336543,0.31407,0.315183,0.337556,0.019588,-0.0,-0.002351,0.064364,-3e-06,-0.000122,0.005683,-0.00011,-0.821455,0.078012,4.2e-05,-0.008519
119586,0.022189,-0.001055,-0.965009,0.045982,-0.0,-0.0,3.0,0.333941,0.31535,0.317995,0.33639,0.020884,-0.0,-0.002354,0.065897,-3e-06,-0.000122,0.007258,-0.000109,-0.821626,0.081054,6.7e-05,-0.00852
119606,0.024095,-0.000744,-0.965177,0.04753,-0.0,-0.0,3.0,0.332893,0.316342,0.319109,0.335477,0.022208,-0.0,-0.002356,0.067163,-3e-06,-0.000122,0.00893,-0.000108,-0.821796,0.083528,8.2e-05,-0.008526
119626,0.026221,-0.000591,-0.965398,0.048357,-0.0,-0.0,3.0,0.333698,0.317703,0.318254,0.334213,0.023554,-0.0,-0.002359,0.06747,-3e-06,-0.000122,0.010677,-0.000107,-0.821967,0.088012,8.1e-05,-0.008531
119646,0.028076,-0.000442,-0.965768,0.049622,-0.0,-0.0,3.0,0.334073,0.318858,0.317854,0.333131,0.024899,-0.0,-0.002361,0.067381,-3e-06,-0.000122,0.012514,-0.000105,-0.822138,0.094208,9.1e-05,-0.008536
119666,0.0301,-0.000617,-0.965986,0.0512,-0.0,-0.0,3.0,0.335317,0.319171,0.316515,0.332835,0.026248,-0.0,-0.002364,0.068258,-3e-06,-0.000122,0.014388,-0.000104,-0.822309,0.096278,7.3e-05,-0.008555
119686,0.032067,-0.000683,-0.966201,0.052265,-0.0,-0.0,3.0,0.336731,0.319293,0.314977,0.332719,0.027618,-0.0,-0.002366,0.069024,-4e-06,-0.000122,0.016262,-0.000103,-0.82248,0.09536,4.4e-05,-0.00856
119706,0.033655,-0.000811,-0.96657,0.054423,-0.0,-0.0,3.0,0.337707,0.31881,0.313903,0.333176,0.029,-0.0,-0.002369,0.070285,-4e-06,-0.000122,0.018129,-0.000102,-0.822651,0.092296,2.1e-05,-0.008565
119726,0.035241,-0.000938,-0.966792,0.055683,-0.0,-0.0,3.0,0.336683,0.318447,0.315029,0.333517,0.030416,-0.0,-0.002371,0.071776,-4e-06,-0.000122,0.019944,-0.000102,-0.822822,0.088423,1.9e-05,-0.008585
119746,0.036771,-0.00096,-0.966951,0.057073,-0.0,-0.0,3.0,0.339711,0.317762,0.31167,0.334158,0.031853,-0.0,-0.002373,0.072276,-4e-06,-0.000122,0.021685,-0.000101,-0.822994,0.083373,-6e-06,-0.008584
119766,0.037749,-0.000717,-0.967186,0.058466,-0.0,-0.0,3.0,0.338335,0.316895,0.313208,0.334965,0.033299,-0.0,-0.002376,0.07278,-4e-06,-0.000122,0.023332,-0.000101,-0.823166,0.080918,3e-05,-0.008589
119786,0.038897,-0.000797,-0.967417,0.059816,-0.0,-0.0,3.0,0.340922,0.315402,0.310302,0.336342,0.034756,-0.0,-0.002378,0.07335,-4e-06,-0.000122,0.024855,-9.9e-05,-0.823337,0.072797,3.8e-05,-0.00859
119806,0.040046,-0.00088,-0.967585,0.060549,-0.0,-0.0,3.0,0.340351,0.314393,0.310949,0.337262,0.036222,-0.0,-0.002381,0.073151,-5e-06,-0.000122,0.026258,-9.8e-05,-0.823509,0.065519,5.6e-05,-0.008596
119826,0.040649,-0.000972,-0.967833,0.062292,-0.0,-0.0,3.0,0.339355,0.313084,0.31207,0.338446,0.037679,-0.0,-0.002383,0.073325,-5e-06,-0.000122,0.027568,-9.7e-05,-0.823681,0.058046,6.9e-05,-0.008597
119846,0.041253,-0.001065,-0.968019,0.063184,-0.0,-0.0,3.0,0.337913,0.311882,0.313676,0.339523,0.039149,-0.0,-0.002386,0.073815,-5e-06,-0.000122,0.028739,-9.5e-05,-0.823853,0.052539,5.5e-05,-0.008604
119866,0.04202,-0.001207,-0.968261,0.064231,-0.0,-0.0,3.0,0.336864,0.311144,0.314831,0.340178,0.040621,-0.0,-0.002388,0.073461,-5e-06,-0.000122,0.029816,-9.5e-05,-0.824025,0.049771,4.6e-05,-0.00859
119886,0.042781,-0.00108,-0.968293,0.065979,-0.0,-0.0,3.0,0.335596,0.310209,0.316213,0.341003,0.042087,-0.0,-0.002391,0.073977,-5e-06,-0.000122,0.03083,-9.4e-05,-0.824197,0.049363,4.3e-05,-0.00859
119906,0.043657,-0.001167,-0.968467,0.066742,-0.0,-0.0,3.0,0.336149,0.3095,0.315612,0.341625,0.04357,-0.0,-0.002393,0.074337,-6e-06,-0.000122,0.031784,-9.3e-05,-0.824368,0.049772,4e-05,-0.008596
119926,0.044959,-0.000752,-0.968682,0.068143,-0.0,-0.0,3.0,0.332985,0.309237,0.319012,0.341855,0.045051,-0.0,-0.002395,0.074148,-6e-06,-0.000122,0.032735,-9.3e-05,-0.82454,0.051625,7e-05,-0.008595
119946,0.046318,-0.000447,-0.968832,0.069295,-0.0,-0.0,3.0,0.333513,0.309488,0.318452,0.341636,0.046534,-0.0,-0.002398,0.074374,-6e-06,-0.000122,0.033736,-9.2e-05,-0.824712,0.053557,8.9e-05,-0.0086
119966,0.04785,-0.000462,-0.969183,0.069855,-0.0,-0.0,3.0,0.333529,0.310416,0.318434,0.340821,0.048017,-0.0,-0.0024,0.073731,-6e-06,-0.000122,0.034807,-9e-05,-0.824884,0.057574,9.2e-05,-0.008597
119986,0.049761,-0.000417,-0.969308,0.070973,-0.0,-0.0,3.0,0.335338,0.311784,0.316492,0.339609,0.049482,-0.0,-0.002403,0.072932,-6e-06,-0.000122,0.036,-8.9e-05,-0.825056,0.064408,8.5e-05,-0.0086
