time_ms,roll,pitch,yaw,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted,value1,value2,value3,value4,value5,value6
561580,-0.010268,-0.015703,0.03264,0.0,-0.0,-0.0,3.0,0.3261,0.318629,0.3261,0.333346,,,,,,,-0.011497,-0.017695,0.038537,0.001576,5.7e-05,0.000152
561600,-0.010148,-0.015827,0.032641,0.087266,-0.0,-0.0,3.0,0.3261,0.285193,0.3261,0.36099,,,,,,,-0.011376,-0.017694,0.03854,0.001277,4.5e-05,0.000151
561620,-0.010029,-0.016074,0.032518,0.087266,-0.0,-0.0,3.0,0.3261,0.284646,0.3261,0.361385,,,,,,,-0.011378,-0.017693,0.038543,0.024502,-4e-06,0.000151
561640,-0.009787,-0.0162,0.03252,0.087266,-0.0,-0.0,3.0,0.3261,0.283211,0.3261,0.362415,,,,,,,-0.011375,-0.017693,0.038546,0.02332,-1.7e-05,0.000163
561660,-0.009058,-0.016456,0.032525,0.087266,-0.0,-0.0,3.0,0.3261,0.280432,0.3261,0.364377,,,,,,,-0.011248,-0.017692,0.038549,0.095656,-5e-06,0.000163
561680,-0.007717,-0.016478,0.032658,0.087266,-0.0,-0.0,3.0,0.3261,0.283332,0.3261,0.362328,,,,,,,-0.010271,-0.017692,0.038553,0.071639,6e-06,0.000163
561700,-0.005517,-0.016392,0.032555,0.087266,-0.0,-0.0,3.0,0.3261,0.2983,0.3261,0.351001,,,,,,,-0.008197,-0.017691,0.038556,0.024115,2.7e-05,0.000153
561720,-0.002707,-0.016316,0.032457,0.087266,-0.0,-0.0,3.0,0.3261,0.30742,0.3261,0.343429,,,,,,,-0.005391,-0.017691,0.038559,0.097346,2.2e-05,0.000155
561740,0.001202,-0.016257,0.032367,0.087266,-0.0,-0.0,3.0,0.3261,0.318482,0.3261,0.333484,,,,,,,-0.001608,-0.01769,0.038562,0.146364,1.5e-05,0.000133
561760,0.006204,-0.016582,0.032164,0.087266,-0.0,-0.0,3.0,0.3261,0.329151,0.3261,0.32301,,,,,,,0.002906,-0.01769,0.038564,0.195389,-5e-06,0.000113
561780,0.011944,-0.016671,0.031843,0.087266,-0.0,-0.0,3.0,0.3261,0.33732,0.3261,0.31433,,,,,,,0.008154,-0.01769,0.038567,0.219797,-2.6e-05,9.2e-05
561800,0.017922,-0.017129,0.031533,0.087266,-0.0,-0.0,3.0,0.3261,0.340033,0.3261,0.311308,,,,,,,0.013649,-0.01769,0.038568,0.292275,-5.9e-05,6.1e-05
561820,0.023784,-0.017216,0.031212,0.087266,-0.0,-0.0,3.0,0.3261,0.337439,0.3261,0.314199,,,,,,,0.019269,-0.017691,0.038569,0.340594,-5.5e-05,2.9e-05
561840,0.029401,-0.017419,0.030896,0.087266,-0.0,-0.0,3.0,0.3261,0.336459,0.3261,0.315274,,,,,,,0.025011,-0.017692,0.038569,0.316203,-6.4e-05,-3e-06
561860,0.034654,-0.01737,0.030567,0.087266,-0.0,-0.0,3.0,0.3261,0.337556,0.3261,0.31407,,,,,,,0.030627,-0.017693,0.038569,0.243914,-5.9e-05,-3.6e-05
561880,0.039174,-0.017314,0.030482,0.087266,-0.0,-0.0,3.0,0.3261,0.33916,0.3261,0.312288,,,,,,,0.03588,-0.017694,0.038568,0.171463,-4.1e-05,-5.7e-05
561900,0.04333,-0.017248,0.03027,0.087266,-0.0,-0.0,3.0,0.3261,0.334522,0.3261,0.317372,,,,,,,0.040152,-0.017696,0.038567,0.171923,-4.7e-05,-6.5e-05
561920,0.046748,-0.017176,0.030291,0.087266,-0.0,-0.0,3.0,0.3261,0.329989,0.3261,0.322147,,,,,,,0.04394,-0.017697,0.038565,0.170989,-5.2e-05,-6.2e-05
561940,0.049556,-0.017221,0.030437,0.087266,-0.0,-0.0,3.0,0.3261,0.325993,0.3261,0.326208,,,,,,,0.046989,-0.017699,0.038564,0.122752,-6.9e-05,-5.9e-05
561960,0.051632,-0.017129,0.030448,0.087266,-0.0,-0.0,3.0,0.3261,0.321814,0.3261,0.330312,,,,,,,0.04943,-0.0177,0.038563,0.074038,-7.2e-05,-5.8e-05
561980,0.053222,-0.017154,0.030464,0.087266,-0.0,-0.0,3.0,0.3261,0.316866,0.3261,0.334993,,,,,,,0.051141,-0.017702,0.038562,0.049106,-9.8e-05,-5.6e-05
562000,0.05432,-0.01717,0.030471,0.087266,-0.0,-0.0,3.0,0.3261,0.312542,0.3261,0.338933,,,,,,,0.052488,-0.017703,0.03856,0.073206,-7.6e-05,-5.5e-05
562020,0.055295,-0.017302,0.030359,0.087266,-0.0,-0.0,3.0,0.3261,0.309065,0.3261,0.342005,,,,,,,0.053466,-0.017704,0.038559,0.09687,-8.9e-05,-6.6e-05
562040,0.056394,-0.017315,0.030244,0.087266,-0.0,-0.0,3.0,0.3261,0.307795,0.3261,0.343106,,,,,,,0.054447,-0.017706,0.038558,0.09677,-6.6e-05,-6.6e-05
562060,0.057616,-0.017456,0.030261,0.087266,-0.0,-0.0,3.0,0.3261,0.309454,0.3261,0.341665,,,,,,,0.055549,-0.017707,0.038557,0.048432,-5.5e-05,-6.5e-05
562080,0.058959,-0.017471,0.030148,0.087266,-0.0,-0.0,3.0,0.3261,0.311878,0.3261,0.339527,,,,,,,0.056767,-0.017708,0.038555,0.049278,-4.4e-05,-7.7e-05
562100,0.060306,-0.017243,0.030027,0.087266,-0.0,-0.0,3.0,0.3261,0.311945,0.3261,0.339466,,,,,,,0.058109,-0.01771,0.038554,0.09815,-4.6e-05,-8.8e-05
562120,0.062265,-0.017146,0.02992,0.087266,-0.0,-0.0,3.0,0.3261,0.316081,0.3261,0.335718,,,,,,,0.059943,-0.017712,0.038552,0.098294,-4.8e-05,-9.8e-05
562140,0.064588,-0.016813,0.029922,0.087266,-0.0,-0.0,3.0,0.3261,0.325357,0.3261,0.326842,,,,,,,0.06238,-0.017713,0.038549,0.050086,-6.3e-05,-0.000108
562160,0.067277,-0.016848,0.029822,0.087266,-0.0,-0.0,3.0,0.3261,0.331567,0.3261,0.320507,,,,,,,0.064947,-0.017714,0.038547,0.099199,-5.4e-05,-0.000118
562180,0.07009,-0.016762,0.029717,0.087266,-0.0,-0.0,3.0,0.3261,0.329942,0.3261,0.322196,,,,,,,0.067394,-0.017715,0.038545,0.171249,-7e-05,-0.000128
562200,0.073141,-0.017046,0.029627,0.087266,-0.0,-0.0,3.0,0.3261,0.327567,0.3261,0.324625,,,,,,,0.06996,-0.017716,0.038542,0.244279,-7.4e-05,-0.000137
562220,0.076193,-0.017211,0.029655,0.087266,-0.0,-0.0,3.0,0.3261,0.325615,0.3261,0.326585,,,,,,,0.07277,-0.017717,0.038539,0.243558,-7.7e-05,-0.000148
